ID;Strassenname;PLZ;Region
128;Chemnitzer Str. 40;9212;Limbach-Oberfrohna
129;Berliner Str. 1;4916;Herzberg
130;Altmarkt 17-18;4758;Oschatz
131;Adorfer Str. 49;8258;Markneukirchen
132;Hauptstr. 5;4736;Waldheim
133;Stollberger Str. 7;9399;Niederwürschnitz
134;Kobaltstr. 2A;8289;Schneeberg
135;Zwickauer Str. 391-393;9117;Chemnitz-Siegmar
136;Bahnhofstr. 8-10;9648;Mittweida
137;Limbacher Str. 208;9116;Chemnitz-Altendorf
138;Chemnitzer Str. 27;9366;Stollberg
139;Limbacher Str. 31;9116;Chemnitz-Kaßberg
140;Zwickauer Str. 160;9116;Chemnitz-Kappel
141;Holzhofstr. 4;8248;Klingenthal
142;Paul-Bertz-Str. 14;9120;Chemnitz-Helbersdorf
143;Dr.Otto-Nuschke-Str. 9;8280;Aue
144;Schlachthofstr. 2;4720;Döbeln
145;Eckstr. 4;9111;Chemnitz-Schloßchemnitz
146;Wilhelm-Raabe-Str. 52;9120;Chemnitz-Altchemnitz
147;Fürstenstr. 5;9130;Chemnitz-Sonnenberg
148;Dresdner Str. 30;4720;Döbeln
149;Zschopauer Str. 184;9126;Chemnitz-Lutherviertel
150;Zschopauer Str. 184;9127;Chemnitz
151;Chemnitzer Str. 59;9669;Frankenberg
152;Lange Str. 46;1587;Riesa-Neuweida
153;Döbelner Str. 71;4741;Roßwein
154;August-Bebel-Str. 1;9661;Hainichen
155;August-Bebel-Str. 2;1589;Riesa
156;August-Bebel-Str. 2;1587;Riesa
157;Karlsbader Str. 42;8340;Schwarzenberg
158;Dresdener Str. 29;4924;Bad Liebenwerda
159;Augustusburger Str. 92-94;9557;Flöha
160;Bergstr. 20;9557;Flöha
161;Meißner Str. 2D;1612;Nünchritz
162;Hauptstr. 77C;1609;Gröditz
163;Bahnhofsallee 10;3253;Doberlug-Kirchhain
164;Schillerstr. 41;4910;Elsterwerda
165;Chemnitzer Str. 42;9456;Annaberg-Buchholz
166;Radeburger Str. 5;1558;Großenhain
167;Olbernhauer Str. 45-47;9599;Freiberg
168;Fabrikstr. 11;1662;Meißen-Cölln
169;Poststr. 11;1662;Meißen-Altstadt
170;Langer Damm 6;3238;Finsterwalde
