ID;Strassenname;PLZ;Region;latitude;longitude
369;Berliner Str. 141;013467;Berlin-Reinickendorf;52.6129924;13.3152787
370;Waldstr. 14-21;013403;Berlin-Reinickendorf;52.57632359999999;13.3256639
371;Kaiser-Wilhelm-Str. 127;012247;Berlin-Lankwitz;52.4410733;13.353142
372;Marienfelder Allee 202;012279;Berlin-Marienfelde;52.40856650000001;13.358021
373;Vorarlberger Damm 24/26;012157;Berlin-Schöneberg;52.4696253;13.3498835
374;Ollenhauerstr. 7/ Friedrich-Karl-Str. 1-2;013403;Berlin-Reinickendorf;52.5646755;13.3296208
375;Neubrandenburger Str. 10-11;018055;Rostock-Kassebohm;54.0791662;12.1582642
376;Steglitzer Damm 95;012137;Berlin;52.4501807;13.354662
377;Steglitzer Damm 95;012169;Berlin-Steglitz;52.4501807;13.354662
378;Malteserstr. 162;012277;Berlin-Marienfelde;52.4174281;13.3620137
379;Hauptstr. 122;010827;Berlin-Schöneberg;52.4827164;13.3508006
380;Kleiststr. 3-6;010787;Berlin-Schöneberg;52.5004639;13.3508396
381;Schiffbauerring 1;018109;Rostock-Groß Klein;54.1454873;12.0686113
382;Gaffelschoner Weg 15;018055;Rostock-Mitte;54.091787;12.1494743
383;Potsdamer Str. 203;010783;Berlin-Schöneberg;52.49171;13.36114
384;Bahnhofstr. 14;017166;Teterow;53.7700212;12.5803216
385;Quitzowstr. 23;010559;Berlin-Mitte;52.5357771;13.3527183
386;Müllerstr. 48/48A;013349;Berlin-Mitte;52.5524938;13.3501086
387;Roedernallee 49-50;013407;Berlin-Reinickendorf;52.5859952;13.3422177
388;Güstrower Str. 8;018109;Rostock-Lichtenhagen;54.1524426;12.0665234
389;Manteuffelstr. 24-25;012103;Berlin-Tempelhof;52.4587838;13.3755654
390;Großbeerenstr. 2;012107;Berlin-Tempelhof;52.4391942;13.3797526
391;Dudenstr. 90;010965;Berlin-Tempelhof;52.4854183;13.3727139
392;Kreuzbergstr. 40;010965;Berlin-Schöneberg;52.4897871;13.3749247
393;Ullsteinstr. 135;012109;Berlin;52.4525514;13.3853223
394;Tempelhofer Damm 215-219;012099;Berlin-Tempelhof;52.4567608;13.3843313
395;Säntisstr. 49;012277;Berlin-Marienfelde;52.4191313;13.3906928
396;Hinrichsdorfer Str. 13B;018146;Rostock-Dierkow;54.1073891;12.1582148
397;Markstr. 39-42;013409;Berlin-Reinickendorf;52.5615605;13.3650217
398;Tempelhofer Damm 130;012099;Berlin-Tempelhof;52.4679941;13.3848239
399;Nuthestr. 5;012307;Berlin-Lichtenrade;52.397369;13.3913213
400;Berliner Damm 159-161;015831;Mahlow;52.3528409;13.4053089
401;Luisenstr. 52;010117;Berlin-Mitte;52.5245101;13.3795398
402;Reinickendorfer Str. 41/ Wiesenstr. 31;013347;Berlin-Mitte;52.54930340000001;13.3694118
403;Stresemannstr. 72-78;010963;Berlin-Kreuzberg;52.503618;13.384007
404;Lichtenrader Damm 219;012305;Berlin-Lichtenrade;52.39294940000001;13.4072589
405;Quickborner Str. 66-70;013439;Berlin-Reinickendorf;52.6041229;13.3680129
406;Provinzstr. 30;013409;Berlin-Mitte;52.5651926;13.378629
407;Badstr. 60;013357;Berlin-Mitte;52.5509451;13.3832878
408;Charlottenstr. 2;010969;Berlin-Kreuzberg;52.5052573;13.3932607
409;Prinzenallee 75-77;013357;Berlin-Mitte;52.55533;13.38246
410;Leipziger Str. 45B;010117;Berlin-Mitte;52.51049159999999;13.3966665
411;Swienskuhlenstr. 6;018147;Rostock;54.12893;12.1563299
412;Brunnenstr. 87;013355;Berlin-Mitte;52.5445529;13.3916325
413;Oberlandstr. 17;012099;Berlin-Tempelhof;52.4651943;13.4161836
414;Hauptstr. 67;015936;Dahme;51.8693812;13.424395
415;Warmensteinacher Str. 57;012349;Berlin-Neukölln;52.4148284;13.4258312
416;Stubenrauchstr. 25A;015806;Zossen;52.2253944;13.4442944
417;Heinrich-Heine-Str. 70;010179;Berlin-Mitte;52.5066421;13.4124193
418;Bornholmer Str. 65;010439;Berlin-Pankow;52.5539683;13.4009377
419;Grabbeallee 27/29;013156;Berlin-Pankow;52.5737677;13.3985265
420;Oranienplatz 4;010999;Berlin-Kreuzberg;52.5020746;13.4144527
421;Choriner Str. 64/64A;010435;Berlin-Pankow;52.5345904;13.4081353
422;Tempelhofer Weg 14;012347;Berlin-Tempelhof;52.4579854;13.4239153
423;Kottbusser Str. 16A;010999;Berlin-Kreuzberg;52.4970459;13.4200424
424;Buckower Damm 194;012349;Berlin-Neukölln;52.42631189999999;13.4342794
425;Holzmarktstr. 3;010179;Berlin-Mitte;52.5147023;13.419061
426;Hermannstr. 55;012049;Berlin-Neukölln;52.4769431;13.4260943
427;Dietzgenstr. 102;013158;Berlin-Pankow;52.59173930000001;13.403353
428;Berliner Str. 27-28;013189;Berlin-Pankow;52.5636918;13.4123109
429;Gutschmidtstr. 101;012359;Berlin-Neukölln;52.4394172;13.4367748
430;Glasower Str. 42;012051;Berlin-Neukölln;52.4638352;13.4353219
431;Maybachufer 32-33;012047;Berlin-Neukölln;52.49217059999999;13.4313502
432;Flughafenstr. 1;012053;Berlin-Neukölln;52.48171;13.4333699
433;Prenzlauer Allee 44;010405;Berlin-Prenzlauer Berg;52.5362471;13.4232349
434;Wisbyer Str. 16;010439;Berlin-Pankow;52.5525613;13.4214493
435;Zeughofstr. 23A;010997;Berlin-Kreuzberg;52.500688;13.4346299
436;Donaustr. 96;012043;Berlin-Neukölln;52.4810115;13.4386204
437;Greifswalder Str. 33A;010405;Berlin-Pankow;52.5331384;13.4305039
438;Prenzlauer Allee 93;010409;Berlin-Pankow;52.5464764;13.4295037
439;Friedenstr. 94A;010249;Berlin-Friedrichshain;52.52242;13.43514
440;Lahnstr. 61;012055;Berlin-Neukölln;52.4679332;13.4464716
441;Prenzlauer Promenade 65-67;013089;Berlin Pankow;52.5674633;13.4279862
442;Späthstr. 162;012359;Berlin-Neukölln;52.453201;13.4547051
443;Sonnenallee 192;012059;Berlin-Neukölln;52.4752088;13.4510399
444;Roelckestr. 172;013086;Berlin-Pankow;52.5504656;13.4405612
445;Warschauer Platz 14;010245;Berlin-Friedrichshain;52.5049749;13.4501209
446;Lipschitzallee 50;012353;Berlin-Neukölln;52.42633379999999;13.4645262
447;Kniprodestr. 26;010407;Berlin-Pankow;52.5343739;13.4457341
448;Strelitzer Str. 2;017235;Neustrelitz;53.3620813;13.0642796
449;Pasewalker Str. 77;013127;Berlin-Pankow;52.5934458;13.432809
450;Kiefholzstr. 386;012435;Berlin-Treptow;52.4844972;13.4616863
451;Blankenburger Str. 17A;013089;Berlin-Heinersdorf;52.5714304;13.443975
452;Pistoriusstr. 66/67;013086;Berlin-Pankow;52.5562;13.43728
453;Markgrafendamm 25C;010245;Berlin-Friedrichshain;52.5003545;13.4654333
454;Neuköllner Str. 236-238;012357;Berlin-Neukölln;52.4266728;13.4806334
455;Rigaer Straße 36-39;010247;Berlin-Friedrichshain;52.515878;13.4660016
456;Boxhagener Str. 76-78;010245;Berlin-Friedrichshain;52.5075327;13.468957
457;Eldenaer Str. 34A;010247;Berlin-Friedrichshain;52.520974;13.4676691
458;Indira-Gandhi-Str. 101;013053;Berlin-Hohenschönhausen;52.5462204;13.4692304
459;Bahnhofstr. 47;016792;Zehdenick;52.9771004;13.3284668
460;Kiefholzstr. 189;012437;Berlin-Treptow;52.4640066;13.4873775
461;Möllendorffstr. 75A;010369;Berlin-Lichtenberg;52.5225824;13.4776186
462;Berliner Allee 300;013088;Berlin-Pankow;52.5643976;13.4710381
463;Hauptstr. 63;016348;Wandlitz-Schönwalde;52.6859833;13.4417835
464;Hauptstr. 63;016352;Schönwalde;52.6859833;13.4417835
465;Ruschestr. 64-70;010365;Berlin-Lichtenberg;52.5213376;13.4868469
466;Stavenhagener Str. 79;017139;Malchin;53.74043229999999;12.7730651
467;Frankfurter Allee 212;010365;Berlin-Lichtenberg;52.51138359999999;13.4925265
468;Blankenburger Chaussee;013125;Berlin Karow;52.6045799;13.4750567
469;Am Erlenhain 2;018190;Sanitz;54.0782349;12.36452
470;Altglienicker Chaussee 13;012529;Schönefeld/ Berlin;52.3997469;13.521661
471;Große Leege Str. 95;013055;Berlin;52.5434931;13.4975809
472;Einbecker Str. 59;010315;Berlin-Lichtenberg;52.5095179;13.5052379
473;Wilhelminenhofstr. 83-85;012459;Berlin-Treptow;52.46143379999999;13.5174596
474;Malchower Weg 134;013053;Berlin-Hohenschönhausen;52.5615824;13.5015942
475;Hammerallee 5;016559;Liebenwalde;52.8724587;13.4045731
476;Semmelweisstr. 106;012524;Berlin-Treptow;52.4251155;13.5273029
477;Ontarioseestr. 17;010319;Berlin-Lichtenberg;52.4950384;13.5226515
478;Bernauer Chaussee 70;016348;Wandlitz;52.7467844;13.4644249
479;Gehrenseestr. 11;013053;Berlin-Hohenschönhausen;52.5501395;13.514578
480;Adlergestell 291;012489;Berlin-Treptow;52.43136939999999;13.5482253
481;Marzahner Chaussee 189;012681;Berlin-Marzahn;52.5239152;13.5331003
482;Märkische Allee 140A;012681;Berlin-Marzahn;52.5307707;13.5373064
483;Paradiesstr. 210;012526;Berlin;52.40430000000001;13.56015
484;Allee der Kosmonauten 141A;012683;Berlin-Marzahn;52.5318048;13.5488581
485;Bruno-Taut-Str. 4;012524;Berlin-Treptow;52.4134841;13.5707378
486;Grünauer Str. 118;012557;Berlin-Köpenick;52.4367441;13.5705023
487;Märkische Allee 276;012679;Berlin-Marzahn;52.5565854;13.5544963
488;Birkholzer Str. 1;016341;Zepernick;52.651125;13.5411811
489;Cecilienstr. 161;012683;Berlin-Marzahn;52.52913479999999;13.5710573
490;Chemnitzer Str. 174;012621;Berlin-Hellersdorf;52.4897301;13.5744569
491;Havemannstr. 1;012689;Berlin-Marzahn;52.56976;13.5693981
492;Wendenschloßstr. 9;012559;Berlin-Köpenick;52.4468153;13.5932077
493;Prötzeler Ring 8;012685;Berlin-Marzahn;52.5455266;13.5750601
494;Luckenwalder Str. 68;015711;Königs Wusterhausen;52.2881636;13.6152856
495;Alt-Kaulsdorf 56;012621;Berlin-Hellersdorf;52.50488499999999;13.589079
496;Dorfaue 33;015745;Wildau;52.3224977;13.6155886
497;Feldberger Ring 1;012619;Berlin-Hellersdorf;52.5278847;13.587965
498;Gothaer Str. 49;012629;Berlin-Hellersdorf;52.5375869;13.5903345
499;August-Bebel-Allee 38-44;015732;Eichwalde;52.3666249;13.6192221
500;Zossener Str. 121;012629;Berlin-Hellersdorf;52.5454644;13.5934297
501;Fürstenwalder Damm 425;012587;Berlin-Köpenick;52.4557532;13.6179708
502;Mark-Twain-Str. 2;012627;Berlin-Hellersdorf;52.5335238;13.6109406
503;Schwanebecker Chaussee 84;016321;Bernau;52.6691635;13.58211
504;Tessiner Str. 1;017179;Gnoien;53.9744165;12.6964671
505;Mahlsdorfer Str. 82;015366;Hönow;52.5402187;13.6382899
506;Südpromenade 6;015926;Luckau;51.85051619999999;13.7102535
507;Bahnhofstr. 152A;016359;Biesenthal;52.7659286;13.6449557
508;Prokopiusstr. 6;017268;Templin;53.1165007;13.5011011
509;Hohenbinder Weg 2;015537;Erkner;52.4167796;13.7561984
510;August-Bebel-Str. 4-5;015569;Woltersdorf;52.449341;13.753241
511;Ernst-Thälmann-Str. 28C;015370;Fredersdorf;52.51446379999999;13.747467
512;Freienwalder Str. 33;016356;Werneuchen;52.6296516;13.7380986
513;Luzinweg 4;017258;Feldberg;53.3297258;13.4346507
514;Carl-Stolte-Str. 21;017094;Burg Stargard;53.4993985;13.3163232
515;Demminer Str. 49;017034;Neubrandenburg;53.5696007;13.2705783
516;Schloßgutsiedlung 1;016244;Finowfurt;52.84268549999999;13.6968974
517;Ahornstr. 6;015537;Grünheide;52.39017320000001;13.8051001
518;Sülzer Chaussee 15A;018465;Tribsees;54.0924387;12.7505247
519;Kruseshofer Str. 1;017036;Neubrandenburg-Ost;53.5574905;13.3061978
520;Ernst-Thälmann-Str. 41E;018347;Wustrow;54.3515869;12.4025953
521;Treptower Str. 1;017109;Demmin;53.900482;13.0439209
522;Berliner Chaussee 23;015907;Lübben;51.9475467;13.8782553
523;Fritz-Reuter-Str. 16;017087;Altentreptow;53.6933046;13.258285
524;Heegermühler Str. 1;016225;Eberswalde-Mitte;52.8347412;13.7947923
525;Berliner Str. 93-94;015344;Strausberg;52.568441;13.8713106
526;Schloßstr. 5;015859;Storkow;52.25379;13.93139
527;Freienwalder Str. 30A;016225;Eberswalde-Ostend;52.82977469999999;13.8309275
528;August-Bebel-Str. 65A;015517;Fürstenwalde;52.3399021;14.073575
529;Am Mastweg 1;018356;Barth;54.3622223;12.7115113
530;Stralsunder Str. 8;018507;Grimmen;54.1161132;13.0424001
531;Neubrandenburger Str. 16A;017098;Friedland;53.6631951;13.544475
532;Altranfter Str. 4-8;016259;Bad Freienwalde;52.7710732;14.0681105
533;Ernst-Thälmann-Str. 22;015374;Müncheberg;52.5020062;14.1460142
534;Schwedter Str. 36;016278;Angermünde;53.0168386;14.0171306
535;Stettiner Str. 47;017291;Prenzlau;53.3216298;13.8645136
536;Jüteritzer Str. 16;017335;Strasburg;53.5051236;13.7506784
537;Frankfurter Str. 11;016269;Wriezen;52.7126312;14.1313362
538;Greifswalder Str. 1;017506;Gützkow;53.9417992;13.4040451
539;Fürstenwalder Str. 9;015848;Beeskow;52.1830526;14.2435778
540;Am Langendorfer Berg 1;018442;Lüssow;54.302417;13.0205827
541;Feldstr. 1;018437;Stralsund-Tribseer Wiesen;54.3022284;13.0753802
542;Feldstr. 1;018439;Stralsund;54.3022298;13.07537
543;Heinrich von Stephan Str. 6;018439;Stralsund;54.3272061;13.065065
544;Heinrich-von-Stephan-Str. 6;018435;Stralsund-Knieper;54.3272061;13.065065
545;Gützkower Landstr. 12;017489;Greifswald-Industriegebiet;54.0818129;13.3815745
546;Anklamer Str. 30;017489;Greifswald-Mühlenvorstadt;54.09026069999999;13.3952931
547;Hasenwinkel 36;017491;Greifswald-Schönwalde;54.0805506;13.4289732
548;Pasewalker Allee 84;017389;Anklam;53.84427489999999;13.712299
549;Diedersdorfer Str. 1;015306;Seelow;52.5314474;14.3713346
550;Lindenstr. 21;017309;Pasewalk;53.5093354;13.9984039
551;Lindenstr. 33;017309;Pasewalk;53.5087309;14.0038861
552;Bäckerstr. 1A;016303;Schwedt-West;53.0677362;14.2633855
553;Berliner Str. 60F;016303;Schwedt;53.0616569;14.2955262
554;Pasewalker Str. 6;017358;Torgelow;53.62856379999999;14.0146652
555;Rathenaustr. 4;015234;Frankfurt/ Oder;52.3483033;14.51489
556;Weinbergweg 36;015232;Frankfurt/ Oder;52.3340059;14.52734
557;Chausseestr. 4C;017373;Ueckermünde;53.7375356;14.0419452
558;Chausseestr. 17;017438;Wolgast;54.0508643;13.7680985
559;Karl-Marx-Str. 35;015890;Eisenhüttenstadt;52.1470632;14.6379575
560;Gingster Chaussee 7;018528;Bergen;54.4244133;13.4135452
561;Salzhorstweg 9B;017454;Zinnowitz;54.0792242;13.9037469
562;Proraer Chaussee 3;018609;Binz;54.401538;13.6031669
563;Göhrener Chaussee 1A;018586;Baabe;54.3629703;13.7060833
564;Ahlbecker Chaussee 9;017429;Bansin;53.96470780000001;14.1320861
565;Glower Str. 31;018551;Sagard;54.528366;13.5444759
566;Am Lanckener Gutshof 38;018546;Sassnitz-Lancken;54.5164349;13.6058471
567;Nienburger Str. 62A;027232;Sulingen;52.6831138;8.822725
568;Lindenstr. 81-83;027239;Twistringen;52.791905;8.6320939
569;Bremer Str. 42;027711;Bassum;52.8505748;8.7286711
570;Bremer Str. 42;027211;Bassum;52.8523198;8.728062399999999
571;Am Bahnhof 19-21;027305;Bruchhausen-Vilsen;52.8281417;8.9966204
572;Auf dem Kuhkamp 26;027318;Hoya;52.81083839999999;9.137942599999999
573;Westring 5;027793;Wildeshausen;52.895973;8.4147384
574;Waldstr. 1;027243;Harpstedt;52.9096338;8.5984916
575;Herrlichkeit 27;028857;Syke;52.9157385;8.8272576
576;Mönkeberg 3;029690;Schwarmstedt;52.6823437;9.612739999999999
577;Alte Hauptstr. 2;028844;Weyhe;52.9815529;8.8421807
578;Mühlenstr. 5;027321;Thedinghausen;52.9595974;9.020307599999999
579;Johanniswall 1-7;027283;Verden;52.9225333;9.2319784
580;Berliner Ring 1;027283;Verden;52.9206709;9.251738399999999
581;Annenheider Str. 197;027755;Delmenhorst-Hasport;53.0258224;8.650225899999999
582;Lange Str. 20;027777;Ganderkesee;53.03038859999999;8.5505201
583;Carl-Zeiss-Str. 17;028816;Stuhr-Brinkum;53.0281682;8.799999999999999
584;Hannah-Arendt-Str. 2;027753;Delmenhorst-Deichhorst;53.0418102;8.594321599999999
585;Dovemoor Str. 10;028259;Bremen-Kirchhuchting;53.038187;8.7258335
586;Arsterdamm 180;028279;Bremen-Arsten;53.0343954;8.8452568
587;Verdener Str. 74;028832;Achim-Baden;53.0002797;9.068091299999999
588;Bremer Str. 106;027751;Delmenhorst-Iprump;53.0539447;8.649769899999999
589;Hauptstr. 85;027299;Langwedel-Daverden;52.9794765;9.1664143
590;Bremer Str. 9;028832;Achim;53.0131431;9.027976599999999
591;Arberger Heerstr. 35;028307;Bremen-Arbergen;53.0388663;8.911396100000001
592;Huchtinger Heerstr. 57;028259;Bremen-Huchting;53.0585538;8.731888699999999
593;Friesoyther Str. 14;026219;Bösel;53.0064788;7.9501269
594;Kornstr. 305;028201;Bremen-Buntentor;53.0546133;8.8124487
595;Oldenburger Str. 324;026203;Wardenburg;53.0536192;8.2024144
596;Reiherweg;026203;Wardenburg;53.05657619999999;8.202010699999999
597;Osterholzer Heerstr. 159;028307;Bremen-Osterholz;53.0569986;8.947573199999999
598;Hastedter Heerstr. 19;028207;Bremen-Hastedt;53.0689369;8.8569663
599;Langenstr. 25-29;028195;Bremen-Mitte;53.0768121;8.804553
600;Woltmershauser Str. 436-440;028197;Bremen-Woltmershausen;53.0850572;8.7632309
601;Ellerbrocker Str. 1;026169;Friesoythe;53.0181777;7.856410700000001
602;Quintusstr. 133;029664;Walsrode;52.86682680000001;9.617068999999999
603;In der Vahr 51;028329;Bremen-Vahr;53.0809457;8.8752177
604;Poststr. 30;029308;Winsen;52.6826399;9.9116538
605;Ostlandstr. 2A;029313;Hambühren;52.6339343;9.967526
606;Wehlacker 2;028876;Oyten;53.0593515;9.0269239
607;Schevemoorer Landstr. 78-80;028325;Bremen-Osterholz;53.0749343;8.9501504
608;Kieler Str. 2;028219;Bremen-Walle;53.0979018;8.7943791
609;Dr.Gustav-Thye-Str. 4;027798;Hude;53.111866;8.4567666
610;Hemmstr. 340;028215;Bremen-Findorff;53.1014536;8.8132307
611;AG-Weser-Str. 3;028237;Bremen;53.1110907;8.749430799999999
612;Gröpelinger Heerstr. 43-45;028237;Bremen-Gröpelingen;53.1109173;8.7698275
613;Leher Heerstr. 126;028357;Bremen-Lehe;53.1016497;8.8840399
614;Düshorner Str. 16;029683;Bad Fallingbostel;52.8635986;9.6876414
615;Cloppenburger Str. 405;026133;Oldenburg-Kreyenbrück;53.1074053;8.2081397
616;Fuhrberger Str. 139;029225;Celle;52.6109495;10.0389893
617;Poststr. 32-36;026897;Esterwegen;52.991452;7.628492199999999
618;Hundsmühler Str. 147;026131;Oldenburg-Eversten;53.12024;8.192381899999999
619;Bremer Heerstr. 75;026135;Oldenburg-Osternburg;53.11996689999999;8.261058
620;Hannoversche Str. 32;029221;Celle;52.6144706;10.080101
621;Nienhagener Str. 1;029339;Wathlingen;52.53977219999999;10.1455747
622;Baumschulenweg 5;029227;Celle;52.5996155;10.1063148
623;Hansering 2;027809;Lemwerder;53.1575819;8.6074354
624;Telefunkenstr. 49;029223;Celle;52.6391022;10.0760914
625;Wehdestr. 10;026123;Oldenburg-Donnerschwee;53.1499787;8.2377194
626;Brüderstr. 53;026160;Petersfehn;53.1384266;8.1081566
627;Stader Landstr. 2-6;028719;Bremen-Lesum;53.167421;8.7029731
628;Hauptstr. 99;026188;Edewecht;53.1218729;7.975494599999998
629;Melkbrink 68-72;026121;Oldenburg-Bürgerfelde;53.1565507;8.2015309
630;Ammerländer Heerstr. 274;026129;Oldenburg-Wechloy;53.1566213;8.171078099999999
631;Falkenberger Landstr. 36;028865;Lilienthal;53.1530543;8.922871599999999
632;Hammersbecker Str. 57-59;028755;Bremen-Aumund;53.184081;8.6254203
633;Lüssumer Str. 117;028779;Bremen-Lüssum;53.1922282;8.5739676
634;Wilhelmshavener Heerstr. 51;026125;Oldenburg-Nadorst;53.1735528;8.228292099999999
635;Soltauer Str. 8;027374;Visselhövede;52.9898302;9.5889283
636;Alexander Str. 444;026127;Oldenburg-Alexandersfeld;53.1773756;8.189369899999999
637;Alexanderstr. 444;026121;Oldenburg;53.1773756;8.189369899999999
638;Lienworth 10;027367;Sottrum;53.1142009;9.230597
639;Herrhausenstr. 2-4;027721;Ritterhude;53.1932909;8.7545858
640;Celler Str. 51;029303;Bergen;52.8014109;9.969088099999999
641;Farger Str. 113;028777;Bremen-Farge;53.2059141;8.522557299999999
642;Hauptstr. 69;026892;Dörpen;52.9674152;7.336496100000001
643;Kirchdamm 1B;028879;Grasberg-Wörpedorf;53.1851303;8.983056099999999
644;Hauptstr. 490;026683;Ramsloh;53.103783;7.674894699999999
645;Blumenthaler Str. 1;028790;Schwanewede;53.2247663;8.5949349
646;Brauerstr. 3-9A;027356;Rotenburg/ Wümme;53.1028242;9.3976826
647;Westersteder Str. 2A;026160;Bad Zwischenahn;53.1829703;7.9956041
648;Oberrege 12-12A;026931;Elsfleth;53.2341144;8.4542378
649;Lise-Meitner-Str. 1;028790;Schwanewede;53.2334175;8.6886836
650;Ackerstr. 3-5;029331;Lachendorf;52.6204555;10.2435022
651;Am Pumpelberg 7;027711;Osterholz-Scharmbeck;53.2327114;8.7759184
652;Brockeler Str. 1;027356;Rotenburg/ Wümme;53.1201932;9.4255395
653;Osterweder Str. 3;027726;Worpswede;53.227349;8.9289446
654;Oldenburger Str. 137;026180;Rastede;53.23644710000001;8.1999885
655;Friesoyther Str. 22;026676;Barßel;53.16243249999999;7.751571200000001
656;Idafehn Mitte 4;026842;Ostrhauderfehn-Idafehn;53.13761539999999;7.6333726
657;Bolwinsweg 3-5;026871;Papenburg-Obenende;53.0721552;7.439495600000001
658;Delmser Dorfstr. 7;029643;Neuenkirchen;53.0395294;9.707814899999999
659;Karl-Hillers-Str. 10;026871;Papenburg-Untenende;53.0788101;7.3878819
660;Am Alten Stadtgraben 5;029614;Soltau;52.9860085;9.8384868
661;Rosmarinheide 46A;026817;Westrhauderfehn;53.13317;7.568919999999999
662;Wemkendorfer Weg 1;026215;Wiefelstede;53.2550888;8.1180527
663;Mühlenstr. 9;026871;Aschendorf;53.0519484;7.3359517
664;Hauptstr. 484-486;026689;Apen-Augustfehn;53.2160141;7.7614781
665;Königstr. 143;026810;Westoverledingen-Flachsmeer;53.1257663;7.4605206
666;Lange Str. 59;026655;Westerstede;53.2603132;7.9189539
667;Hauptstr. 34;027729;Hambergen;53.3074659;8.8361998
668;Weserstr. 78;026919;Brake;53.3359726;8.4672547
669;Müdener Weg 19;029328;Faßberg;52.8952232;10.1586428
670;Döhrenacker 4;027628;Hagen;53.3581223;8.6559358
671;Harburger Str. 11;029640;Schneverdingen;53.1198957;9.7908431
672;Bremer Str. 51;027404;Zeven;53.2944176;9.2653577
673;Mühlenstr. 1;026826;Weener;53.1629085;7.350213099999999
674;Kivinanstr. 41;027404;Zeven;53.2986307;9.2750504
675;Goethestr. 19;029392;Wesendorf;52.5927239;10.5378713
676;Ostertorstr. 75;026670;Uplengen-Remels;53.30678349999999;7.7540929
677;Kohlenbissener Grund 11;029633;Munster;52.98895700000001;10.1083461
678;Papenburger Str. 13;026789;Leer;53.2319404;7.4772512
679;Ubbo-Emmius-Str. 93;026789;Leer;53.22995419999999;7.439449
680;Heisfelder Str. 219;026789;Leer-Heisfelde;53.2435797;7.456576
681;Soltauer Str. 1;029646;Bispingen;53.0814913;9.995484399999999
682;Hindenburgstr. 81-87;027442;Gnarrenburg;53.3832253;9.001380300000001
683;Neuschanzerstr. 22;026831;Bunde;53.1839504;7.263438999999999
684;Stader Str. 13;027419;Sittensen;53.28598940000001;9.505352499999999
685;Gertrud-Barthel-Str. 8;026316;Varel;53.3976902;8.1226111
686;Im Brink 1;026835;Hesel;53.29918010000001;7.5955454
687;Steinhauser Str. 25-29;026345;Bockhorn;53.3972122;8.016306199999999
688;Logestr. 42-44;027616;Beverstedt;53.43280499999999;8.8268326
689;Rudolf-Eucken-Str. 26;026802;Moormerland-Warsingsfehn;53.3083792;7.4889226
690;Ohrbült 4;026340;Zetel;53.4178347;7.975550299999999
691;Zinnhütte 10;021255;Tostedt;53.2692822;9.729393499999999
692;Parkstr. 4;027612;Loxstedt;53.4749767;8.6519129
693;Friedrich-Ebert-Str. 77-81;026954;Nordenham;53.491831;8.485165
694;Carsten-Börger-Str. 10;027572;Bremerhaven-Wulsdorf;53.49229889999999;8.598457
695;Amaryllisweg 7;026639;Wiesmoor;53.4190558;7.7370356
696;Postweg 28A;026629;Ostgroßefehn;53.4003141;7.605285200000001
697;Georg-Seebeck-Str. 44;027570;Bremerhaven-Geestemünde;53.526397;8.5930298
698;Schiffdorfer Chaussee 225;027574;Bremerhaven-Schiffdorferdamm;53.5314831;8.6327416
699;Alte Str. 35;027432;Bremervörde;53.4869823;9.1414142
700;Am Markt 7;026452;Sande;53.5043728;8.0117469
701;Elbestr. 124;027570;Bremerhaven-Geestemünde;53.5460541;8.5937802
702;Güterstr. 86;026389;Wilhelmshaven-Ebkeriege;53.5213394;8.0715373
703;Hauptstr. 25-27;021279;Hollenstedt;53.36646;9.7089
704;Mitscherlichstr. 60-62;026382;Wilhelmshaven-Mitte;53.5279275;8.1071666
705;Georg-Marwede-Str. 34;029574;Ebstorf;53.0207983;10.4211593
706;Knesebecker Str. 2 - 8;029378;Wittingen;52.7254624;10.7382621
707;Soltauer Str. 93;021244;Buchholz;53.3143852;9.8796064
708;Barkhausenstr. 113;027568;Bremerhaven-Mitte;53.5587287;8.5650426
709;Ulmenstr. 3-5;026725;Emden-Borssum;53.3453288;7.227649599999999
710;Freiligrathstr. 195;026386;Wilhelmshaven-Neuengroden;53.54629809999999;8.119084299999999
711;Zimmererstr. 1;021244;Buchholz-Steinbeck;53.3450998;9.8582928
712;Neustädter Str. 29;029389;Bad Bodenteich;52.8368674;10.6830634
713;Twischlehe 16;027580;Bremerhaven-Lehe;53.5792796;8.5966332
714;Jadestr. 7-9;026419;Schortens;53.54020999999999;7.950279999999998
715;Hauenriede 1;029525;Uelzen;52.9696721;10.548634
716;Neufelder Weg 4;027619;Schiffdorf-Spaden;53.5821362;8.6301536
717;Folkmar-Allena-Str. 2;026725;Emden-Wolthusen;53.3743031;7.236197499999999
718;Buxtehuder Str. 17;021698;Harsefeld;53.4565448;9.5115482
719;Raiffeisenstr. 12;026603;Aurich;53.46012469999999;7.497739500000001
720;Beim Butterberge 1-13;021641;Apensen;53.4420529;9.627886
721;Wilhelm-Leuschner-Str. 20;027578;Bremerhaven-Leherheide;53.5919041;8.6170565
722;Bernhard Nigebur Str. 6;029525;Uelzen;52.9710508;10.5712121
723;Leher Landstr. 92-94;027607;Langen;53.5955745;8.5979951
724;Teutonenstr. 1;026723;Emden-Constantia;53.3673704;7.1883225
725;Posener Str. 113;026388;Wilhelmshaven-Fedderwardergroden;53.57362699999999;8.0809021
726;Emder Str. 27;026607;Aurich;53.4700429;7.4662808
727;Fritz-Reuter-Str. 6;026721;Emden-Harsweg;53.3896376;7.209843100000001
728;Sieverner Str. 22;027607;Geestland-Langen;53.6103719;8.5950039
729;Hooksweg 9;026441;Jever;53.5757427;7.9073092
