ID;Strassenname;PLZ;Region;latitude;longitude
86;Riesaer Str. 75;04328;Leipzig-Paunsdorf;51.34632000000001;12.46031
87;Leipziger Str. 117;04425;Taucha;51.3732361;12.4797789
88;Röthaer Str. 30C;04564;Böhlen;51.198708;12.3912269
89;Berliner Chaussee 13;06886;Wittenberg;51.8803972;12.6543873
90;Baderdamm 17;04610;Meuselwitz;51.0430405;12.3014435
91;Schmiedeberger Str. 56B;04849;Bad Düben;51.59855340000001;12.5964299
92;Schopperstr. 32C;07937;Zeulenroda;50.6549446;11.9905227
93;Ziegelstr. 4;04838;Eilenburg;51.4645157;12.6483683
94;Lobstädter Str. 17;04552;Borna;51.1222395;12.4880856
95;Lödlaer Chaussee 2;04617;Lödla-Oberlödla;50.9991783;12.4046131
96;Brandiser Str. 88;04683;Naunhof;51.2882353;12.5884965
97;Sachsenallee;04552;Borna;51.1255487;12.4948991
98;Schleizer Str. 49;07926;Gefell;50.4410999;11.8605022
99;Ronneburger Str. 118A;04626;Schmölln;50.8937192;12.3340186
100;Kauerndorfer Allee 10;04600;Altenburg;50.9971039;12.4247373
101;Trageser Str. 36;04567;Kitzscher;51.1668835;12.5517768
102;August-Bebel-Str. 21;07973;Greiz;50.655213;12.2070316
103;Wiesenmühlenweg 1;04654;Frohburg;51.0583777;12.5514947
104;Dresdener Str. 7;04808;Wurzen;51.3674772;12.7367397
105;Amselstr. 2;08451;Crimmitschau;50.81942919999999;12.3924313
106;Bahnhofstr. 12;04668;Grimma;51.2288069;12.7147587
107;Äussere Crimmitschauer Str. 82;08393;Meerane;50.8439008;12.4501304
108;Crimmitschauer Str. 8;08412;Werdau;50.74014829999999;12.3779409
109;Hofer Str. 21;08527;Plauen-Süd;50.48936579999999;12.1401775
110;Rosa-Luxemburg-str. 70;06917;Jessen;51.7941781;12.9688351
111;Zwickauer Str. 97;08468;Reichenbach;50.6299848;12.3064421
112;Grimmaische Str. 37-39;04643;Geithain;51.0598199;12.6904337
113;Bahnhofstraße;08115;Lichtentanne;50.6985745;12.4179397
114;Hans-Lorenz-Str. 1;08371;Glauchau;50.8250284;12.5434409
115;Marienthaler Str. 53;08060;Zwickau-Marienthal;50.719091;12.4669268
116;Oststr. 96;08233;Treuen;50.54759989999999;12.3033733
117;Leipziger Str. 168;08058;Zwickau-Pölbitz;50.7377017;12.4909408
118;Plauensche Str. 67;08606;Oelsnitz/ Vogtland;50.4271103;12.1765134
119;Am Fuchsgraben 21;08056;Zwickau-Planitz;50.7017813;12.4853261
120;Warschauer Str. 9B;04860;Torgau;51.5585463;12.9904222
121;Wassergasse 1;04680;Colditz;51.1289863;12.8035632
122;Chemnitzer Str. 98A;09322;Penig;50.92537;12.7129772
123;Zwickauer str. 39;08112;Wilkau-Haßlau;50.6784443;12.5078252
124;Lengenfelder Str. 3;08228;Rodewisch;50.5319094;12.4023859
125;Göltzschtalstr. 47;08209;Auerbach;50.4996376;12.397114
126;Bahnhofstr. 10A;04874;Belgern;51.4804893;13.1178343
127;Dresdner Str. 122;09337;Hohenstein-Ernstthal;50.8033006;12.7319155
128;Chemnitzer Str. 40;09212;Limbach-Oberfrohna;50.8542603;12.7777132
129;Berliner Str. 1;04916;Herzberg;51.6959826;13.2479889
130;Altmarkt 17-18;04758;Oschatz;51.298585;13.1075332
131;Adorfer Str. 49;08258;Markneukirchen;50.3096741;12.317674
132;Hauptstr. 5;04736;Waldheim;51.0756118;13.0077263
133;Stollberger Str. 7;09399;Niederwürschnitz;50.7210964;12.7560618
134;Kobaltstr. 2A;08289;Schneeberg;50.5945484;12.6492523
135;Zwickauer Str. 391-393;09117;Chemnitz-Siegmar;50.8170972;12.8465767
136;Bahnhofstr. 8-10;09648;Mittweida;50.98638340000001;12.9709011
137;Limbacher Str. 208;09116;Chemnitz-Altendorf;50.8333368;12.8752218
138;Chemnitzer Str. 27;09366;Stollberg;50.7152429;12.7835254
139;Limbacher Str. 31;09116;Chemnitz-Kaßberg;50.83828399999999;12.9019919
140;Zwickauer Str. 160;09116;Chemnitz-Kappel;50.8219791;12.8902622
141;Holzhofstr. 4;08248;Klingenthal;50.3563318;12.4527035
142;Paul-Bertz-Str. 14;09120;Chemnitz-Helbersdorf;50.8021302;12.8880562
143;Dr.Otto-Nuschke-Str. 9;08280;Aue;50.5939683;12.7120896
144;Schlachthofstr. 2;04720;Döbeln;51.1226566;13.1070407
145;Eckstr. 4;09111;Chemnitz-Schloßchemnitz;50.8459415;12.9244671
146;Wilhelm-Raabe-Str. 52;09120;Chemnitz-Altchemnitz;50.8175581;12.9159391
147;Fürstenstr. 5;09130;Chemnitz-Sonnenberg;50.8370213;12.9331815
148;Dresdner Str. 30;04720;Döbeln;51.12234609999999;13.1441761
149;Zschopauer Str. 184;09126;Chemnitz-Lutherviertel;50.81779;12.9446
150;Zschopauer Str. 184;09127;Chemnitz;50.8176899;12.9448258
151;Chemnitzer Str. 59;09669;Frankenberg;50.90845179999999;13.0274265
152;Lange Str. 46;01587;Riesa-Neuweida;51.3117871;13.2677004
153;Döbelner Str. 71;04741;Roßwein;51.0653331;13.1754911
154;August-Bebel-Str. 1;09661;Hainichen;50.9672388;13.1203414
155;August-Bebel-Str. 2;01589;Riesa;51.2985506;13.3081444
156;August-Bebel-Str. 2;01587;Riesa;51.2985506;13.3081444
157;Karlsbader Str. 42;08340;Schwarzenberg;50.53461309999999;12.7839586
158;Dresdener Str. 29;04924;Bad Liebenwerda;51.51737499999999;13.4128705
159;Augustusburger Str. 92-94;09557;Flöha;50.8495491;13.0786939
160;Bergstr. 20;09557;Flöha;50.8460131;13.0758289
161;Meißner Str. 2D;01612;Nünchritz;51.3003221;13.3831814
162;Hauptstr. 77C;01609;Gröditz;51.4188366;13.4554759
163;Bahnhofsallee 10;03253;Doberlug-Kirchhain;51.6189896;13.5599455
164;Schillerstr. 41;04910;Elsterwerda;51.46496430000001;13.5257528
165;Chemnitzer Str. 42;09456;Annaberg-Buchholz;50.5926834;13.0092635
166;Radeburger Str. 5;01558;Großenhain;51.2949182;13.5379258
167;Olbernhauer Str. 45-47;09599;Freiberg;50.90852109999999;13.3370085
168;Fabrikstr. 11;01662;Meißen-Cölln;51.1603969;13.4851012
169;Poststr. 11;01662;Meißen-Altstadt;51.0718004;13.6359165
170;Langer Damm 6;03238;Finsterwalde;51.6293546;13.7113789
171;Freiberger Str. 56;01723;Wilsdruff;51.0044468;13.4640096
172;Dresdner Str. 16;01689;Weinböhla;51.1592541;13.5626851
173;Am Mart 1;01561;Lampertswalde;51.306522;13.6712797
174;Gerhart-Hauptmann-Str. 6A;01979;Lauchhammer;51.4982482;13.7685903
175;Meißner Str. 252;01445;Radebeul-West;51.1084454;13.6333349
176;Lindenweg 1;01471;Radeburg;51.2152122;13.7310825
177;Otto-Grotewohl-Str. 19;03222;Lübbenau;51.8597753;13.9417089
178;Meißner Str. 41;01445;Radebeul-Ost;51.0975175;13.6909581
179;Omsewitzer Ring 45;01169;Dresden-Gorbitz;51.0489989;13.663629
180;Cossebauder Str. 6;01157;Dresden-Cotta;51.0606777;13.6809667
181;Dresdner Str. 112;01705;Freital;51.0090349;13.656785
182;Berliner Str. 1;01945;Ruhland;51.4605548;13.8680762
183;Gewerbepark Nord 1;03205;Calau;51.7492539;13.953505
184;Großenhainer Str. 156;01129;Dresden-Trachenberge;51.0907326;13.7234447
185;Ludwig-Kossuth-Str. 49;01109;Dresden-Hellerau;51.1173757;13.7426031
186;Leipziger Str. 76;01127;Dresden-Pieschen;51.0742586;13.7234857
187;Löbtauer Str. 26;01159;Dresden-Friedrichstadt;51.05283739999999;13.7151198
188;Chemnitzer Str. 68;01187;Dresden-Plauen;51.0323544;13.7099729
189;Budapester Str. 26A;01069;Dresden-Südvorstadt;51.0418064;13.719635
190;Hansastr. 50;01097;Dresden-Leipziger Vorstadt;51.0718816;13.7397227
191;Schlesischer Platz 1;01097;Dresden-Innere Neustadt;51.0655574;13.7408316
192;Wiener Platz 4;01069;Dresden-Seevorstadt;51.0403398;13.7314638
193;Karl-Marx-Str. 20;01109;Dresden-Klotzsche;51.1131798;13.7737107
194;Grunaer Str. 5;01069;Dresden-Altstadt;51.04876849999999;13.746424
195;Königsbrücker Landstr. 303;01108;Dresden-Weixdorf;51.1461368;13.7999942
196;Südhöhe 38;01217;Dresden-Zschertnitz;51.0194227;13.7374959
197;Strehlener Platz 1;01219;Dresden-Strehlen;51.0334937;13.7508054
198;Am Firstenweg 1A;01744;Dippoldiswalde;50.8884307;13.6679612
199;Comeniusplatz 2;01307;Dresden-Striesen;51.0418742;13.7678831
200;Comeniusplatz 2;01309;Dresden;51.041877;13.7678748
201;Freienhufener Str. 21A;01983;Großräschen;51.5855833;14.0014304
202;Briesker Str. 50;01968;Senftenberg;51.5138991;13.98909
203;Schandauer Str. 22A;01309;Dresden-Striesen;51.0433089;13.7861143
204;Bodenbacher Str. 62A;01277;Dresden-Seidnitz;51.02953249999999;13.7890631
205;Weißbacher Str. 28;01936;Königsbrück;51.2654541;13.9083283
206;Georg-Palitzsch-Str. 16;01239;Dresden-Prohlis;51.00277759999999;13.7938817
207;Bautzner Landstr. 112;01324;Dresden-Bühlau;51.06145249999999;13.8446874
208;Österreicher Str. 2;01279;Dresden-Laubegast;51.02957379999999;13.8310495
209;Pirnaer Landstr. 183A;01257;Dresden-Leuben;51.0079884;13.8349316
210;Oberstr. 10;01454;Radeberg;51.11937229999999;13.9201792
211;Gabelsberger Str. 8;01809;Heidenau;50.9721591;13.8663643
212;Stolpener Str. 14;01477;Arnsdorf;51.0976294;13.9936801
213;Senftenberger Str. 1;02991;Lauta;51.4605735;14.0972102
214;Rathausallee 2A;02994;Bernsdorf;51.3757932;14.0708715
215;Kamenzer Str. 23;01896;Pulsnitz;51.18991459999999;14.0154492
216;Pulsnitzer Str. 13;01900;Großröhrsdorf;51.14798829999999;14.0227131
217;Rudolf-Renner-Str. 10;01796;Pirna-Copitz;50.9683091;13.9332403
218;Dresdner Str. 9;01796;Pirna;50.9569921;13.927729
219;Fichtestr. 2;01917;Kamenz;51.2725742;14.1061302
220;Karl-Liebknecht-Str. 47A;03046;Cottbus-Ströbitz;51.7555164;14.3114746
221;Sielower Landstr. 21;03044;Cottbus-Brunschwig;51.7757269;14.323722
222;Schulstr. 2A;02977;Hoyerswerda;51.43826749999999;14.2390415
223;Sielower Landstr. 21;03042;Cottbus;51.7723944;14.3260419
224;Uhlandstr. 12;03050;Cottbus-Sachsendorf;51.7256194;14.3358339
225;Dissenchener Str. 16;03042;Cottbus-Sandow;51.7628129;14.3521484
226;Cottbuser Str. 7A;03185;Peitz;51.85217300000001;14.406687
227;Friedrich-List-Str. 2;01877;Bischofswerda;51.1172376;14.1879572
228;Heinrichstr. 17;03130;Spremberg;51.5680035;14.3763878
229;Basteistr. 31;01814;Bad Schandau;50.9222116;14.1398421
230;Wilhelm-Kaulisch-Str. 29;01844;Neustadt/ Sachsen;51.0276303;14.2137366
231;Am Ostbahnhof 5;01904;Neukirch;51.0919361;14.3203199
232;Gartenstr. 1;01855;Sebnitz;50.9770326;14.2712695
233;Neusalzaer Str. 39A;02625;Bautzen;51.1692733;14.4262662
234;Steinstr. 36;02625;Bautzen;51.1805519;14.4330096
235;Aufbaustr. 17;03159;Döbern;51.6155817;14.594977
236;Spremberger Str. 10;03149;Forst;51.7365787;14.6387058
237;Friedensstr. 77;02943;Boxberg;51.4029553;14.5784767
238;Sprucker Str. 36;03172;Guben;51.9481555;14.7018478
239;Bautzener Str. 31;02943;Weißwasser;51.4993292;14.6340744
240;Czornebohstr. 2a;02733;Cunewalde;51.1012007;14.5202187
241;Bautzner Str. 27;02730;Ebersbach;51.0040105;14.5905346
242;Poststr. 7;02708;Löbau;51.0986556;14.6658307
243;Kantstr. 31;02763;Zittau-Süd;50.8858776;14.8040644
