60;61;01;0;01;0000;000;Flensburg, Stadt;  56,74; 88 759; 43 759; 45 000; 1 564;24937;9,437509;54,78252;01;Städtisch
60;61;01;0;02;0000;000;Kiel, Landeshauptstadt;  118,65; 239 526; 117 297; 122 229; 2 019;24103;10,13727;54,321775;01;Städtisch
60;61;01;0;03;0000;000;Lübeck, Hansestadt;  214,21; 210 232; 100 054; 110 178;  981;23539;10,683931;53,866269;01;Städtisch
60;61;01;0;04;0000;000;Neumünster, Stadt;  71,63; 76 830; 37 734; 39 096; 1 073;24534;9,984968;54,073921;01;Städtisch
60;63;01;0;51;0011;011;Brunsbüttel, Stadt;  65,24; 13 120; 6 513; 6 607;  201;25541;9,126938;53,896664;03;Ländlich
60;63;01;0;51;0044;044;Heide, Stadt;  31,97; 20 886; 9 998; 10 888;  653;25746;9,0954;54,195833;03;Ländlich
60;64;01;0;51;5163;003;Averlak;  9,07;  599;  296;  303;  66;25715;9,182663;53,941153;03;Ländlich
60;64;01;0;51;5163;010;Brickeln;  6,07;  217;  113;  104;  36;25712;9,221166;54,00849;03;Ländlich
60;64;01;0;51;5163;012;Buchholz;  14,55; 1 076;  550;  526;  74;25712;12,641551;53,277354;03;Ländlich
60;64;01;0;51;5163;016;Burg (Dithmarschen);  11,23; 4 237; 2 033; 2 204;  377;25712;9,258097;53,995936;03;Ländlich
60;64;01;0;51;5163;022;Dingen;  7,02;  670;  338;  332;  95;25715;9,125803;53,960888;03;Ländlich
60;64;01;0;51;5163;024;Eddelak;  9,21; 1 367;  672;  695;  148;25715;9,137788;53,945504;03;Ländlich
60;64;01;0;51;5163;026;Eggstedt;  12,79;  781;  394;  387;  61;25721;9,259269;54,054534;03;Ländlich
60;64;01;0;51;5163;032;Frestedt;  10,32;  370;  186;  184;  36;25727;9,175759;54,023638;03;Ländlich
60;64;01;0;51;5163;037;Großenrade;  10,40;  516;  265;  251;  50;25712;9,223435;54,022051;03;Ländlich
60;64;01;0;51;5163;051;Hochdonn;  5,46; 1 234;  607;  627;  226;25712;9,29316;54,019564;03;Ländlich
60;64;01;0;51;5163;064;Kuden;  11,36;  652;  342;  310;  57;25712;9,192821;53,967852;03;Ländlich
60;64;01;0;51;5163;089;Quickborn;  6,95;  205;  97;  108;  29;25712;9,206618;54,009975;03;Ländlich
60;64;01;0;51;5163;097;Sankt Michaelisdonn;  23,05; 3 635; 1 795; 1 840;  158;25693;9,122147;53,994437;03;Ländlich
60;64;01;0;51;5163;110;Süderhastedt;  15,74;  866;  419;  447;  55;25727;9,208859;54,049909;03;Ländlich
60;64;01;0;51;5166;021;Diekhusen-Fahrstedt;  7,46;  755;  393;  362;  101;25709;9,028338;53,942364;03;Ländlich
60;64;01;0;51;5166;034;Friedrichskoog;  53,35; 2 452; 1 220; 1 232;  46;25718;8,897409;54,013925;03;Ländlich
60;64;01;0;51;5166;046;Helse;  11,44;  946;  472;  474;  83;25709;9,010226;53,977555;03;Ländlich
60;64;01;0;51;5166;057;Kaiser-Wilhelm-Koog;  13,06;  375;  189;  186;  29;25709;8,926363;53,942933;03;Ländlich
60;64;01;0;51;5166;062;Kronprinzenkoog;  28,85;  892;  457;  435;  31;25709;8,964497;53,971709;03;Ländlich
60;63;01;0;51;5166;072;Marne, Stadt;  4,83; 5 825; 2 730; 3 095; 1 206;25709;9,008761;53,953694;03;Ländlich
