RS;GEBIET;EINK_JE_EINW;ANTEIL_ARBEITSLOSE;ANTEIL_ARBEITSLOSE_ALTER_15_24;ANTEIL_ARBEITSLOSE_ALTER_55_64;ANTEIL_LANGZEITARBEITSLOSE;ANTEIL_ARBEITSLOSE_AUSLAENDER;ANZAHL_BEANTR_VERFAHREN;ANZAHL_EROEFFNETE_VERFAHREN;ANZAHL_ABGEW_VERFAHREN;ANZAHL_BEANTR_VERFAHREN_MIT_SCHULDPLAN;ANZAHL_BESCHAEFTIGTE;FORDERUNGEN_TSD_EURO;ANTEIL_SIEDLUNG_VERKEHR;ANTEIL_ERHOLUNGSFLAECHE;ANTEIL_LANDWIRTSCHAFTSFLAECHE;ANTEIL_WALDFLAECHE
033580000000;Heidekreis, Landkreis;18372.0;7.2;13.6;16.2;36.9;10.0;322.0;307.0;15.0;0.0;211.0;27894.0;9.3;0.6;42.0;32.2
033590000000;Stade, Landkreis;20044.0;6.5;10.3;17.6;36.4;9.1;367.0;347.0;16.0;4.0;58.0;52166.0;12.0;0.6;72.9;7.1
033600000000;Uelzen, Landkreis;18437.0;7.5;10.5;16.6;27.5;6.2;206.0;188.0;6.0;12.0;53.0;15130.0;8.7;0.4;53.1;33.5
033610000000;Verden, Landkreis;21315.0;5.5;6.6;20.1;47.0;13.4;274.0;243.0;30.0;1.0;141.0;48394.0;14.8;0.8;69.2;13.0
034010000000;Delmenhorst, Kreisfreie Stadt;17664.0;10.2;9.3;15.8;39.0;19.4;355.0;333.0;19.0;3.0;122.0;32768.0;48.1;3.1;45.2;3.0
034020000000;Emden, Kreisfreie Stadt;17061.0;9.8;10.8;15.9;36.8;7.0;150.0;143.0;6.0;1.0;76.0;6852.0;27.1;1.6;59.1;1.2
034030000000;Oldenburg (Oldenburg), Kreisfreie Stadt;18192.0;8.6;10.8;14.4;36.8;13.3;456.0;419.0;34.0;3.0;425.0;42685.0;58.7;4.9;30.5;4.9
034040000000;Osnabrück, Kreisfreie Stadt;19753.0;8.2;8.5;17.2;36.8;21.3;442.0;409.0;27.0;6.0;174.0;30095.0;49.5;4.2;31.7;16.6
034050000000;Wilhelmshaven, Kreisfreie Stadt;16054.0;12.8;8.0;13.9;41.7;8.7;318.0;309.0;9.0;0.0;153.0;28234.0;44.1;4.4;38.1;11.4
034510000000;Ammerland, Landkreis;19712.0;4.9;8.6;20.0;31.9;7.0;269.0;243.0;23.0;3.0;301.0;68573.0;16.7;1.1;69.6;10.5
034520000000;Aurich, Landkreis;17306.0;7.8;9.9;16.4;32.0;5.8;429.0;414.0;9.0;6.0;248.0;133300.0;14.2;0.9;75.0;3.9
034530000000;Cloppenburg, Landkreis;18144.0;5.4;10.2;19.3;29.8;8.7;269.0;252.0;17.0;0.0;126.0;22436.0;13.6;0.6;69.9;12.7
034540000000;Emsland, Landkreis;18233.0;3.7;11.9;19.8;26.2;7.4;667.0;603.0;63.0;1.0;625.0;106258.0;13.2;0.6;64.3;17.5
034550000000;Friesland, Landkreis;17888.0;6.4;9.5;17.7;32.6;6.5;242.0;230.0;12.0;0.0;225.0;18454.0;15.4;1.1;73.4;7.0
034560000000;Grafschaft Bentheim, Landkreis;17264.0;4.6;7.4;21.5;42.1;15.8;189.0;168.0;13.0;8.0;489.0;38991.0;13.8;0.8;66.4;15.7
034570000000;Leer, Landkreis;16470.0;7.4;12.4;15.4;35.0;6.3;504.0;478.0;26.0;0.0;130.0;37204.0;14.5;0.5;73.6;2.8
034580000000;Oldenburg, Landkreis;20190.0;4.7;10.5;17.3;30.3;8.8;260.0;226.0;33.0;1.0;665.0;83580.0;14.0;0.8;64.7;18.7
034590000000;Osnabrück, Landkreis;19771.0;4.1;8.2;21.8;29.9;10.3;768.0;684.0;54.0;30.0;661.0;89648.0;14.5;0.7;62.9;20.2
034600000000;Vechta, Landkreis;20311.0;3.6;13.0;17.2;23.6;17.7;265.0;241.0;23.0;1.0;202.0;46020.0;16.3;0.9;67.3;13.1
034610000000;Wesermarsch, Landkreis;18651.0;7.4;11.6;14.2;41.8;10.2;213.0;204.0;9.0;0.0;64.0;15481.0;11.5;0.6;81.4;1.5
034620000000;Wittmund, Landkreis;17805.0;7.1;9.8;17.8;26.3;4.7;118.0;115.0;2.0;1.0;164.0;45975.0;10.6;0.4;76.9;5.9
040000000000;Bremen;19102.0;11.6;9.3;13.3;42.4;21.6;2161.0;2027.0;125.0;9.0;185.0;742379.0;55.6;8.1;28.7;1.9
040110000000;Bremen, Kreisfreie Stadt;19475.0;10.6;8.8;13.4;42.0;23.5;1840.0;1732.0;101.0;7.0;59.0;717955.0;58.3;8.4;31.1;1.5
040120000000;Bremerhaven, Kreisfreie Stadt;17266.0;16.3;10.8;13.1;43.7;15.3;321.0;295.0;24.0;2.0;126.0;24423.0;45.9;7.0;20.6;3.4
050000000000;Nordrhein-Westfalen;19968.0;8.1;9.5;16.2;42.7;21.0;38625.0;34984.0;3209.0;432.0;48148.0;8905430.0;22.6;1.9;49.0;25.7
051110000000;Düsseldorf, Kreisfreie Stadt;23324.0;9.0;5.6;15.4;46.9;30.8;1517.0;1340.0;140.0;37.0;5522.0;580556.0;59.6;8.0;21.2;11.4
051120000000;Duisburg, Kreisfreie Stadt;15720.0;13.1;8.9;13.8;46.0;27.2;1183.0;1061.0;118.0;4.0;1035.0;139827.0;61.2;7.3;18.6;8.4
051130000000;Essen, Kreisfreie Stadt;19151.0;12.0;9.2;14.8;44.6;22.1;1497.0;1345.0;144.0;8.0;1376.0;341959.0;67.6;11.1;16.0;13.4
051140000000;Krefeld, Kreisfreie Stadt;19769.0;10.6;7.8;16.2;42.2;19.8;527.0;488.0;35.0;4.0;485.0;117893.0;55.5;8.6;31.5;9.5
051160000000;Mönchengladbach, Kreisfreie Stadt;19532.0;11.1;10.9;14.2;36.9;19.5;881.0;809.0;65.0;7.0;1207.0;137642.0;49.1;5.6;39.0;10.2
051170000000;Mülheim an der Ruhr, Kreisfreie Stadt;21502.0;8.4;3.4;20.8;55.7;28.4;300.0;267.0;32.0;1.0;610.0;104762.0;55.6;7.4;23.0;19.1
051190000000;Oberhausen, Kreisfreie Stadt;16804.0;11.6;10.0;14.4;50.3;22.8;759.0;712.0;47.0;0.0;210.0;146793.0;75.6;10.8;9.0;13.0
051200000000;Remscheid, Kreisfreie Stadt;20612.0;8.6;9.1;16.9;48.8;26.0;273.0;253.0;17.0;3.0;115.0;37537.0;43.9;4.7;23.3;31.0
051220000000;Solingen, Kreisfreie Stadt;22059.0;8.0;10.3;17.2;44.8;26.8;353.0;334.0;15.0;4.0;131.0;58372.0;48.4;5.2;24.5;25.6
051240000000;Wuppertal, Kreisfreie Stadt;19702.0;10.9;10.5;13.6;43.9;27.1;942.0;871.0;68.0;3.0;414.0;204997.0;49.0;7.0;20.6;28.1
051540000000;Kleve, Kreis;18468.0;5.3;11.5;21.3;37.3;12.8;599.0;555.0;43.0;1.0;544.0;85148.0;16.3;1.3;64.6;14.2
051580000000;Mettmann, Kreis;22944.0;6.6;8.2;17.8;45.9;22.2;987.0;913.0;54.0;20.0;1025.0;246350.0;39.8;5.5;38.0;18.8
051620000000;Rhein-Kreis Neuss;22337.0;6.3;8.5;18.8;38.9;20.5;769.0;692.0;55.0;22.0;826.0;114104.0;30.9;3.4;53.6;7.3
051660000000;Viersen, Kreis;20444.0;7.0;10.3;18.9;37.9;13.8;660.0;616.0;40.0;4.0;496.0;200921.0;25.5;2.0;53.2;19.0
051700000000;Wesel, Kreis;19391.0;7.2;10.7;15.3;39.0;15.0;952.0;894.0;55.0;3.0;1483.0;184992.0;21.8;2.1;54.8;17.3
053140000000;Bonn, Kreisfreie Stadt;21971.0;6.6;8.8;13.9;40.8;25.0;663.0;621.0;41.0;1.0;552.0;65090.0;50.4;4.2;16.3;28.0
053150000000;Köln, Kreisfreie Stadt;20130.0;9.6;8.0;13.7;44.7;31.0;2753.0;2510.0;225.0;18.0;2897.0;577533.0;60.6;10.3;17.5;16.1
053160000000;Leverkusen, Kreisfreie Stadt;18996.0;7.7;12.3;16.9;36.1;24.7;392.0;368.0;22.0;2.0;220.0;640929.0;59.4;7.7;24.3;11.3
053340000000;Städteregion Aachen (einschl. Stadt Aachen);18587.0;9.0;9.5;14.6;43.4;23.0;1105.0;1038.0;63.0;4.0;790.0;125122.0;27.4;1.8;38.9;30.9
053580000000;Düren, Kreis;18872.0;8.0;12.9;13.0;42.9;15.5;595.0;566.0;26.0;3.0;597.0;79805.0;16.3;1.4;56.9;21.1
053620000000;Rhein-Erft-Kreis;20370.0;7.7;10.5;17.8;44.4;20.6;958.0;860.0;94.0;4.0;588.0;139211.0;27.0;2.5;52.9;13.6
053660000000;Euskirchen, Kreis;19143.0;6.4;11.5;19.1;36.8;9.8;412.0;388.0;23.0;1.0;139.0;47755.0;13.3;1.0;47.1;38.1
053700000000;Heinsberg, Kreis;17672.0;7.6;12.7;16.4;42.2;12.4;593.0;536.0;39.0;18.0;586.0;75434.0;22.9;1.5;64.4;10.9
053740000000;Oberbergischer Kreis;20653.0;6.3;10.8;19.3;39.8;15.0;668.0;608.0;48.0;12.0;645.0;103756.0;19.5;1.1;38.8;39.4
053780000000;Rheinisch-Bergischer Kreis;23064.0;6.2;9.1;19.8;44.4;18.7;469.0;415.0;46.0;8.0;374.0;80246.0;24.3;1.6;37.0;36.6
053820000000;Rhein-Sieg-Kreis;21218.0;5.5;11.7;17.6;34.5;18.8;1047.0;988.0;55.0;4.0;1258.0;827928.0;23.2;1.4;44.4;29.7
055120000000;Bottrop, Kreisfreie Stadt;17893.0;8.5;11.3;14.1;39.1;18.5;286.0;257.0;29.0;0.0;569.0;71595.0;43.9;5.6;29.2;22.9
055130000000;Gelsenkirchen, Kreisfreie Stadt;15259.0;14.2;10.3;12.8;45.8;23.2;1000.0;909.0;73.0;18.0;594.0;307709.0;74.6;9.9;14.3;7.8
055150000000;Münster, Kreisfreie Stadt;21654.0;5.9;9.0;14.7;33.1;17.3;433.0;375.0;41.0;17.0;268.0;126649.0;33.0;4.2;46.3;17.5
055540000000;Borken, Kreis;19202.0;4.2;10.9;20.7;40.9;12.5;542.0;448.0;53.0;41.0;830.0;86699.0;16.9;1.0;66.4;14.8
055580000000;Coesfeld, Kreis;20691.0;3.2;12.3;21.7;28.2;9.1;310.0;272.0;26.0;12.0;484.0;48224.0;13.6;1.0;68.5;15.9
055620000000;Recklinghausen, Kreis;18013.0;10.7;10.5;15.1;48.7;18.3;1005.0;847.0;137.0;21.0;1363.0;165300.0;32.5;2.7;38.0;25.4
055660000000;Steinfurt, Kreis;19131.0;4.6;11.5;18.4;30.7;14.9;596.0;516.0;64.0;16.0;1489.0;110246.0;17.0;0.8;66.4;14.2
055700000000;Warendorf, Kreis;20665.0;5.4;10.5;17.8;38.1;18.3;424.0;362.0;53.0;9.0;898.0;85327.0;14.2;1.1;70.7;12.9
057110000000;Bielefeld, Kreisfreie Stadt;20136.0;9.4;9.9;14.1;39.3;26.8;1026.0;951.0;67.0;8.0;625.0;72293.0;42.0;4.4;35.7;21.4
057540000000;Gütersloh, Kreis;22034.0;4.7;11.0;17.8;33.4;19.3;579.0;486.0;77.0;16.0;905.0;113079.0;21.2;1.5;62.8;13.7
057580000000;Herford, Kreis;20754.0;6.2;10.8;18.8;37.5;16.0;527.0;462.0;55.0;10.0;929.0;127889.0;29.7;1.1;60.3;8.5
057620000000;Höxter, Kreis;18520.0;5.5;11.1;19.9;32.6;7.3;200.0;179.0;21.0;0.0;677.0;86488.0;10.4;0.5;58.9;29.4
057660000000;Lippe, Kreis;21116.0;7.4;11.1;18.2;41.8;14.2;557.0;485.0;72.0;0.0;1030.0;169583.0;16.7;1.6;51.6;30.4
057700000000;Minden-Lübbecke, Kreis;20237.0;6.2;8.4;18.8;41.0;12.3;563.0;506.0;47.0;10.0;329.0;60162.0;19.6;0.8;65.2;11.5
057740000000;Paderborn, Kreis;18821.0;6.7;10.3;16.7;39.3;13.9;394.0;345.0;42.0;7.0;801.0;106519.0;15.5;1.5;53.5;29.4
059110000000;Bochum, Kreisfreie Stadt;18217.0;9.9;8.5;14.9;40.9;18.8;934.0;818.0;111.0;5.0;812.0;107648.0;70.6;9.5;20.7;7.2
059130000000;Dortmund, Kreisfreie Stadt;17370.0;12.8;8.7;15.5;46.0;24.3;1543.0;1408.0;128.0;7.0;1256.0;306565.0;59.1;4.3;25.9;13.9
059140000000;Hagen, Kreisfreie Stadt;18742.0;10.3;9.2;15.1;43.7;26.2;435.0;400.0;34.0;1.0;285.0;66301.0;34.8;2.7;19.5;42.1
059150000000;Hamm, Kreisfreie Stadt;16561.0;10.3;8.3;19.4;60.3;22.7;540.0;511.0;25.0;4.0;898.0;174099.0;32.5;2.4;54.9;8.9
059160000000;Herne, Kreisfreie Stadt;16687.0;12.7;9.2;13.5;43.4;22.6;466.0;433.0;31.0;2.0;515.0;53841.0;77.0;9.2;12.4;5.9
059540000000;Ennepe-Ruhr-Kreis;22634.0;7.3;7.1;19.4;41.2;16.4;688.0;634.0;54.0;0.0;532.0;100890.0;28.6;1.7;39.0;30.1
059580000000;Hochsauerlandkreis;21038.0;5.0;9.4;20.1;40.9;13.0;407.0;342.0;57.0;8.0;3458.0;467062.0;11.8;0.6;31.0;55.8
059620000000;Märkischer Kreis;22892.0;6.8;7.9;19.5;39.3;20.2;1241.0;1124.0;115.0;2.0;1359.0;155876.0;16.8;0.7;31.8;49.6
059660000000;Olpe, Kreis;25350.0;4.3;10.8;18.4;38.0;17.2;224.0;216.0;3.0;5.0;1221.0;48323.0;14.7;0.8;23.7;59.4
059700000000;Siegen-Wittgenstein, Kreis;21892.0;5.8;11.4;19.2;38.7;15.3;378.0;340.0;30.0;8.0;665.0;60304.0;15.8;0.6;18.7;64.7
059740000000;Soest, Kreis;19888.0;6.5;8.9;19.3;41.3;13.6;548.0;478.0;64.0;6.0;478.0;57205.0;15.1;1.0;62.3;19.9
059780000000;Unna, Kreis;18770.0;9.4;8.9;15.5;46.1;16.1;925.0;832.0;90.0;3.0;753.0;104892.0;31.0;1.8;54.6;12.3
060000000000;Hessen;20681.0;5.9;9.6;17.9;38.0;25.2;11350.0;10401.0;749.0;200.0;6426.0;2381187.0;15.5;1.0;42.1;40.1
064110000000;Darmstadt, Kreisfreie Stadt;20245.0;6.0;9.1;14.5;33.0;30.7;322.0;296.0;25.0;1.0;275.0;81774.0;34.9;3.8;18.6;44.9
064120000000;Frankfurt am Main, Kreisfreie Stadt;20492.0;7.5;8.2;15.8;34.4;39.2;1613.0;1476.0;126.0;11.0;431.0;342253.0;57.9;6.6;24.3;15.3
064130000000;Offenbach am Main, Kreisfreie Stadt;17345.0;10.7;7.7;15.0;34.8;47.1;521.0;468.0;47.0;6.0;33.0;45367.0;49.1;5.6;14.1;33.3
064140000000;Wiesbaden, Landeshauptstadt, Kreisfreie Stadt;21442.0;7.3;11.1;12.7;32.5;29.5;718.0;669.0;31.0;18.0;203.0;250712.0;38.9;6.1;29.8;27.7
064310000000;Bergstraße, Landkreis;21080.0;4.8;7.0;15.7;46.6;21.5;427.0;376.0;46.0;5.0;225.0;69045.0;16.0;0.9;40.8;40.1
064320000000;Darmstadt-Dieburg, Landkreis;21998.0;5.0;10.3;18.9;46.1;24.8;441.0;412.0;25.0;4.0;171.0;88601.0;18.6;1.0;44.1;35.1
