JAHR;RS;GEBIET;EINK_JE_EINW;ANTEIL_ARBEITSLOSE;ANTEIL_ARBEITSLOSE_ALTER_15_24;ANTEIL_ARBEITSLOSE_ALTER_55_64;ANTEIL_LANGZEITARBEITSLOSE;ANTEIL_ARBEITSLOSE_AUSLAENDER;ANZAHL_BEANTR_VERFAHREN;ANZAHL_EROEFFNETE_VERFAHREN;ANZAHL_ABGEW_VERFAHREN;ANZAHL_BEANTR_VERFAHREN_MIT_SCHULDPLAN;ANZAHL_BESCHAEFTIGTE;FORDERUNGEN_TSD_EURO;ANTEIL_SIEDLUNG_VERKEHR;ANTEIL_ERHOLUNGSFLAECHE;ANTEIL_LANDWIRTSCHAFTSFLAECHE;ANTEIL_WALDFLAECHE
2010;010040000000;Neumünster, Kreisfreie Stadt;16512.0;11.5;12.7;12.3;31.4;13.4;282.0;270.0;12.0;0.0;147.0;24739.0;49.5;4.9;42.8;4.5
2011;010040000000;Neumünster, Kreisfreie Stadt;16866.0;11.2;12.3;13.6;34.4;13.6;270.0;260.0;9.0;1.0;395.0;40913.0;49.7;5.3;42.6;4.5
2012;010040000000;Neumünster, Kreisfreie Stadt;17481.0;11.0;12.8;13.6;36.5;14.1;297.0;273.0;23.0;1.0;508.0;263155.0;49.9;5.3;42.4;4.5
2013;010040000000;Neumünster, Kreisfreie Stadt;17924.0;11.1;12.5;15.1;36.9;14.1;213.0;207.0;6.0;0.0;304.0;36119.0;50.1;5.3;42.2;4.5
2014;010040000000;Neumünster, Kreisfreie Stadt;18304.0;10.9;11.6;15.6;40.2;14.8;225.0;219.0;6.0;0.0;97.0;25027.0;50.1;5.2;42.2;4.6
2015;010040000000;Neumünster, Kreisfreie Stadt;18518.0;10.2;11.1;17.0;40.9;16.5;218.0;209.0;8.0;1.0;96.0;44085.0;50.3;5.3;42.1;4.5
2010;010510000000;Dithmarschen, Landkreis;18218.0;8.5;14.6;14.0;28.5;5.0;430.0;399.0;27.0;4.0;317.0;54882.0;10.7;0.5;75.8;3.7
2011;010510000000;Dithmarschen, Landkreis;18912.0;8.4;13.6;14.9;24.1;5.2;403.0;383.0;17.0;3.0;203.0;49272.0;10.9;0.5;76.5;3.7
2012;010510000000;Dithmarschen, Landkreis;19512.0;8.1;13.6;15.5;26.0;5.4;447.0;399.0;44.0;4.0;161.0;37144.0;10.9;0.5;76.4;3.7
2013;010510000000;Dithmarschen, Landkreis;20350.0;7.6;12.9;15.9;27.3;5.8;326.0;309.0;15.0;2.0;86.0;25038.0;11.0;0.5;76.4;3.7
2014;010510000000;Dithmarschen, Landkreis;20477.0;7.4;12.4;16.8;28.1;6.6;326.0;307.0;18.0;1.0;98.0;42989.0;11.0;0.5;76.2;3.7
2015;010510000000;Dithmarschen, Landkreis;20956.0;7.3;13.0;17.0;28.5;8.7;304.0;283.0;18.0;3.0;333.0;150091.0;11.0;0.5;76.1;3.7
2010;010530000000;Herzogtum Lauenburg, Landkreis;20628.0;6.4;12.9;14.1;32.0;11.8;453.0;370.0;78.0;5.0;209.0;56585.0;11.2;0.8;58.4;25.6
