RS_LAND;RS_REGBEZIRK;RS_KREIS;RS_GEMEINDEVB;RS_GEMEINDE;GEMEINDENAME;FLAECHE_IN_QKM;BEV_INSGESAMT;BEV_MAENNLICH;BEV_WEIBLICH;BEV_JE_QKM;PLZ;GEOG_MITTELP_LON;GEOG_MITTELP_LAT;BESIEDLUNGSSCHLUESSEL;BESIEDLUNGSSCHLUESSEL_BEZ;RS
09;2;78;0190;190;Steinach;  23.15;2978;1480;1498;129;94377;8.055738;48.303687;2;Halbstädtisch;092780190190
09;2;78;0197;197;Wiesenfelden;  78.19;3613;1846;1767;46;94344;12.538654;49.0419;3;Ländlich;092780197197
09;2;78;5246;147;Loitzendorf;  12.03;620;316;304;52;94359;12.655036;49.085195;3;Ländlich;092785246147
09;2;78;5246;179;Rattiszell;  22.19;1446;761;685;65;94372;12.659311;49.025481;3;Ländlich;092785246179
09;2;78;5246;189;Stallwang;  20.59;1392;696;696;68;94375;12.654958;49.051534;3;Ländlich;092785246189
09;2;78;5248;116;Ascha;  19.54;1552;787;765;79;94347;12.636872;48.997632;3;Ländlich;092785248116
09;2;78;5248;120;Falkenfels;  11.49;1007;518;489;88;94350;12.595909;49.005354;3;Ländlich;092785248120
09;2;78;5248;134;Haselbach;  18.44;1666;841;825;90;94354;12.692493;49.003186;3;Ländlich;092785248134
09;2;78;5248;151;Mitterfels, M;  14.23;2445;1177;1268;172;94360;12.679841;48.975557;2;Halbstädtisch;092785248151
09;2;78;5249;139;Hunderdorf;  22.21;3264;1641;1623;147;94336;12.724927;48.942671;2;Halbstädtisch;092785249139
09;2;78;5249;154;Neukirchen;  24.46;1845;947;898;75;94362;12.756026;48.97548;3;Ländlich;092785249154
09;2;78;5249;198;Windberg;  7.97;1059;541;518;133;94336;12.745644;48.941698;2;Halbstädtisch;092785249198
09;2;78;5250;112;Aholfing;  21.40;1757;880;877;82;94345;12.469863;48.941797;3;Ländlich;092785250112
09;2;78;5250;117;Atting;  14.92;1647;837;810;110;94348;12.485266;48.895405;2;Halbstädtisch;092785250117
09;2;78;5250;172;Perkam;  14.22;1614;799;815;114;94368;12.440546;48.854385;3;Ländlich;092785250172
09;2;78;5250;177;Rain;  14.29;2685;1380;1305;188;94369;12.468291;48.905144;2;Halbstädtisch;092785250177
09;2;78;5252;149;Mariaposching;  19.63;1429;725;704;73;94553;12.80835;48.827251;3;Ländlich;092785252149
09;2;78;5252;159;Niederwinkling;  25.65;2508;1241;1267;98;94559;12.795273;48.885566;3;Ländlich;092785252159
09;2;78;5252;171;Perasdorf;  16.04;676;338;338;42;94366;12.801636;48.950042;3;Ländlich;092785252171
09;2;78;5252;187;Schwarzach, M;  33.22;2760;1338;1422;83;94374;12.810925;48.914522;3;Ländlich;092785252187
09;2;78;5256;113;Aiterhofen;  43.09;3386;1613;1773;79;94330;12.62018;48.845829;3;Ländlich;092785256113
09;2;78;5256;182;Salching;  22.00;2509;1256;1253;114;94330;12.570691;48.812167;3;Ländlich;092785256182
09;2;78;5257;140;Irlbach;  15.83;1155;588;567;73;94342;12.75254;48.840945;3;Ländlich;092785257140
09;2;78;5257;192;Straßkirchen;  38.39;3278;1631;1647;85;94342;12.723761;48.83016;3;Ländlich;092785257192
09;2;79;0112;112;Dingolfing, St;  44.01;18222;9163;9059;414;84130;12.496745;48.629529;3;Ländlich;092790112112
09;2;79;0113;113;Eichendorf, M;  98.18;6434;3196;3238;66;94428;12.85614;48.634351;3;Ländlich;092790113113
09;2;79;0115;115;Frontenhausen, M;  30.43;4408;2202;2206;145;84160;12.525656;48.546093;3;Ländlich;092790115115
09;2;79;0122;122;Landau a.d.Isar, St;  84.41;12574;6159;6415;149;94405;12.69394;48.669103;3;Ländlich;092790122122
09;2;79;0124;124;Loiching;  38.92;3546;1865;1681;91;84180;12.431713;48.62093;3;Ländlich;092790124124
09;2;79;0126;126;Marklkofen;  40.71;3659;1855;1804;90;84163;12.552017;48.553092;3;Ländlich;092790126126
09;2;79;0127;127;Mengkofen;  84.75;5775;2929;2846;68;84152;12.442946;48.719246;3;Ländlich;092790127127
09;2;79;0128;128;Moosthenning;  70.43;4765;2453;2312;68;84164;12.497842;48.6768;3;Ländlich;092790128128
09;2;79;0130;130;Niederviehbach;  29.63;2499;1280;1219;84;84183;12.383316;48.613892;3;Ländlich;092790130130
09;2;79;0132;132;Pilsting, M;  71.18;6199;3021;3178;87;94431;12.650552;48.701899;3;Ländlich;092790132132
09;2;79;0134;134;Reisbach, M;  94.20;7626;3882;3744;81;94419;12.628791;48.569859;3;Ländlich;092790134134
09;2;79;0135;135;Simbach, M;  51.22;3583;1842;1741;70;94436;12.736544;48.567268;3;Ländlich;092790135135
09;2;79;0137;137;Wallersdorf, M;  71.17;6739;3411;3328;95;94522;12.747242;48.738905;3;Ländlich;092790137137
09;2;79;5208;116;Gottfrieding;  27.07;2091;1092;999;77;84177;12.536223;48.638968;3;Ländlich;092795208116
09;2;79;5208;125;Mamming;  41.48;2891;1468;1423;70;94437;12.60358;48.651628;3;Ländlich;092795208125
09;3;61;0000;000;Amberg;  50.14;43755;21249;22506;873;92224;11.854686;49.444871;2;Halbstädtisch;093610000000
09;3;62;0000;000;Regensburg;  80.70;135520;65122;70398;1679;93047;12.097166;49.017446;1;Städtisch;093620000000
09;3;63;0000;000;Weiden i.d.OPf.;  70.52;41961;19917;22044;595;92637;12.160208;49.676075;2;Halbstädtisch;093630000000
