JAHR;RS;GEBIET;EINK_JE_EINW;ANTEIL_ARBEITSLOSE;ANTEIL_ARBEITSLOSE_ALTER_15_24;ANTEIL_ARBEITSLOSE_ALTER_55_64;ANTEIL_LANGZEITARBEITSLOSE;ANTEIL_ARBEITSLOSE_AUSLAENDER;ANZAHL_BEANTR_VERFAHREN;ANZAHL_EROEFFNETE_VERFAHREN;ANZAHL_ABGEW_VERFAHREN;ANZAHL_BEANTR_VERFAHREN_MIT_SCHULDPLAN;ANZAHL_BESCHAEFTIGTE;FORDERUNGEN_TSD_EURO;ANTEIL_SIEDLUNG_VERKEHR;ANTEIL_ERHOLUNGSFLAECHE;ANTEIL_LANDWIRTSCHAFTSFLAECHE;ANTEIL_WALDFLAECHE
2010;032540000000;Hildesheim, Landkreis;18044.0;8.7;10.3;14.8;37.7;11.8;694;670;24;0;258;60987;15.3;1.5;58.3;24.3
2010;032550000000;Holzminden, Landkreis;18017.0;9.2;10.8;16.8;32.4;8.1;220;206;13;1;39;16718;10.5;1.0;41.9;45.8
2010;032560000000;Nienburg (Weser), Landkreis;17704.0;6.5;12.9;14.7;90.4;13.8;294;279;14;1;303;30930;11.2;0.4;66.6;17.8
2010;032570000000;Schaumburg, Landkreis;18486.0;8.5;11.0;16.1;35.4;12.9;539;492;42;5;691;103449;17.5;1.0;54.3;25.8
2010;033000000000;Lüneburg, Stat. Region;19065.0;;10.6;15.7;34.0;9.4;3807;3577;200;30;1763;546556;11.2;0.6;58.5;24.3
2010;033510000000;Celle, Landkreis;17593.0;8.5;11.8;14.6;35.6;10.8;504;487;16;1;221;67440;11.4;0.6;38.1;45.0
2010;033520000000;Cuxhaven, Landkreis;18410.0;6.7;10.2;15.9;33.9;9.5;629;599;27;3;220;97604;10.9;0.6;75.7;8.5
2010;033530000000;Harburg, Landkreis;22485.0;5.4;10.5;17.0;28.0;11.6;363;334;25;4;242;99250;16.1;1.1;52.4;28.5
2010;033540000000;Lüchow-Dannenberg, Landkreis;17028.0;11.1;10.1;14.5;37.9;5.2;63;60;1;2;11;7289;8.1;0.3;51.7;37.0
2010;033550000000;Lüneburg, Landkreis;17996.0;7.2;8.9;13.2;29.6;8.5;438;407;28;3;110;55490;11.3;1.1;51.2;31.2
2010;033560000000;Osterholz, Landkreis;19134.0;5.5;9.5;17.2;32.2;9.8;227;206;20;1;247;35114;15.1;0.8;68.1;11.7
2010;033570000000;Rotenburg (Wümme), Landkreis;18328.0;5.0;10.9;17.1;28.4;6.6;396;375;19;2;313;70268;10.6;0.5;72.3;15.2
2010;033580000000;Heidekreis, Landkreis;17717.0;7.7;13.0;14.8;37.9;9.5;344;326;16;2;55;25868;9.3;0.6;41.7;32.1
2010;033590000000;Stade, Landkreis;19510.0;7.1;11.5;15.4;37.2;8.9;417;396;17;4;77;32771;11.9;0.6;72.2;7.1
2010;033600000000;Uelzen, Landkreis;17619.0;8.1;11.1;15.1;28.5;6.1;187;173;8;6;59;15602;8.6;0.4;53.1;33.5
2010;033610000000;Verden, Landkreis;20666.0;6.3;7.6;19.4;45.3;12.4;239;214;23;2;208;39859;14.7;0.8;68.9;13.0
2010;034000000000;Weser-Ems, Stat. Region;17853.0;;10.1;15.9;31.2;10.3;6185;5716;412;57;6470;997828;14.8;0.8;67.6;12.4
2010;034010000000;Delmenhorst, Kreisfreie Stadt;17356.0;10.5;10.1;13.8;36.8;18.7;417;399;17;1;757;56802;47.9;3.0;44.8;3.0
2010;034020000000;Emden, Kreisfreie Stadt;16815.0;10.3;10.2;12.8;36.3;7.7;160;152;8;0;24;14168;27.1;1.6;57.1;1.1
2010;034030000000;Oldenburg (Oldenburg), Kreisfreie Stadt;17952.0;9.0;11.1;12.2;38.1;12.9;549;505;38;6;2125;141882;58.0;4.8;30.2;4.9
2010;034040000000;Osnabrück, Kreisfreie Stadt;19330.0;9.5;8.3;15.8;33.8;20.6;466;428;23;15;109;32564;49.3;4.1;31.9;16.6
2010;034050000000;Wilhelmshaven, Kreisfreie Stadt;15829.0;13.2;7.4;12.2;42.5;8.8;386;364;22;0;459;88012;41.1;4.3;35.4;11.4
2010;034510000000;Ammerland, Landkreis;19134.0;5.4;9.3;18.5;30.0;6.4;276;249;26;1;350;60887;16.5;1.0;69.6;10.5
2010;034520000000;Aurich, Landkreis;16649.0;8.2;10.1;14.2;34.1;5.9;455;437;16;2;906;61380;14.1;0.9;73.4;4.0
2010;034530000000;Cloppenburg, Landkreis;17445.0;6.3;10.9;16.4;27.2;8.8;319;293;26;0;191;40126;13.4;0.6;70.1;12.5
2010;034540000000;Emsland, Landkreis;17403.0;4.4;13.3;17.8;23.8;6.5;647;592;55;0;272;190579;12.9;0.5;64.6;17.4
2010;034550000000;Friesland, Landkreis;17212.0;6.9;9.7;14.5;33.3;6.5;245;232;13;0;36;17878;15.2;1.1;72.8;7.0
2010;034560000000;Grafschaft Bentheim, Landkreis;16583.0;5.2;8.2;18.4;37.2;15.2;177;150;18;9;285;32537;13.6;0.8;66.6;15.7
2010;034570000000;Leer, Landkreis;15950.0;8.1;13.1;14.4;32.7;6.3;485;456;28;1;6;37087;14.4;0.5;72.6;2.8
2010;034580000000;Oldenburg, Landkreis;19445.0;5.9;8.8;19.4;12.7;9.7;288;258;28;2;371;65932;13.9;0.7;64.8;18.5
2010;034590000000;Osnabrück, Landkreis;19059.0;5.0;8.8;19.4;12.7;9.7;688;617;55;16;414;72612;14.4;0.7;62.9;20.0
2010;034600000000;Vechta, Landkreis;19718.0;4.0;13.9;14.1;91.7;20.7;286;257;26;3;92;33097;16.1;0.8;67.4;13.1
2010;034610000000;Wesermarsch, Landkreis;17960.0;8.0;12.2;12.3;37.9;10.2;225;214;10;1;58;38222;11.4;0.6;80.2;1.5
2010;034620000000;Wittmund, Landkreis;16995.0;7.9;10.6;16.5;25.8;4.8;116;113;3;0;15;14064;10.5;0.4;76.3;5.9
2010;040000000000;Bremen;18860.0;12.0;9.3;12.0;41.9;21.2;2260;2111;123;26;849;308564;55.4;8.0;28.9;1.9
2010;040110000000;Bremen, Kreisfreie Stadt;19208.0;11.1;9.0;12.2;42.7;22.9;1998;1885;95;18;451;204537;58.2;8.4;31.3;1.5
2010;040120000000;Bremerhaven, Kreisfreie Stadt;17148.0;16.3;10.5;11.3;39.3;15.6;262;226;28;8;398;104027;45.6;6.9;20.8;3.3
2010;050000000000;Nordrhein-Westfalen;19419.0;8.7;9.9;14.7;41.7;20.7;39786;36042;3264;480;40758;14343877;22.4;1.9;49.1;25.6
2010;051000000000;Düsseldorf, Regierungsbezirk;19627.0;;9.1;14.6;43.3;22.8;12253;11150;966;137;12219;8952972;33.0;3.8;46.8;15.1
2010;051110000000;Düsseldorf, Kreisfreie Stadt;22860.0;9.5;5.9;14.8;44.7;30.5;1695;1497;148;50;2299;7127259;59.6;7.9;20.8;11.2
2010;051120000000;Duisburg, Kreisfreie Stadt;15359.0;13.2;9.2;11.5;44.2;27.7;1066;962;103;1;1042;227781;61.1;7.3;18.6;8.4
2010;051130000000;Essen, Kreisfreie Stadt;18714.0;12.0;9.0;14.3;43.9;21.8;1503;1339;154;10;1847;275802;67.6;11.1;16.1;13.3
2010;051140000000;Krefeld, Kreisfreie Stadt;19266.0;11.3;7.6;14.7;44.7;20.0;466;423;40;3;446;82553;55.4;8.5;31.6;9.4
2010;051160000000;Mönchengladbach, Kreisfreie Stadt;19017.0;11.5;11.0;13.2;39.0;19.1;838;786;48;4;602;82511;49.3;5.7;39.2;10.1
2010;051170000000;Mülheim an der Ruhr, Kreisfreie Stadt;20800.0;8.8;3.5;18.8;53.1;27.6;329;304;25;0;237;54425;55.6;7.4;23.0;19.1
2010;051190000000;Oberhausen, Kreisfreie Stadt;16365.0;11.6;10.7;13.0;50.2;22.7;703;655;48;0;292;60791;75.0;10.4;9.3;13.0
2010;051200000000;Remscheid, Kreisfreie Stadt;19986.0;10.2;9.3;14.8;46.9;26.0;281;260;20;1;776;70606;43.7;4.6;23.5;31.0
2010;051220000000;Solingen, Kreisfreie Stadt;21450.0;8.9;10.3;15.5;43.9;26.8;326;297;27;2;179;77267;48.3;5.1;24.6;25.5
2010;051240000000;Wuppertal, Kreisfreie Stadt;19204.0;11.5;10.8;13.0;45.0;26.8;915;845;65;5;935;116825;49.0;6.9;20.8;28.0
2010;051540000000;Kleve, Kreis;17849.0;6.0;12.3;18.8;38.6;12.0;687;646;40;1;703;114874;16.2;1.2;64.8;14.2
2010;051580000000;Mettmann, Kreis;22246.0;7.1;8.8;16.6;44.8;21.9;1018;932;66;20;814;196480;39.8;5.5;38.2;18.6
2010;051620000000;Rhein-Kreis Neuss;21702.0;6.6;8.7;17.9;38.4;20.1;813;711;68;34;538;195344;30.6;3.2;54.1;7.3
2010;051660000000;Viersen, Kreis;19757.0;7.4;9.7;17.2;36.2;13.3;699;655;41;3;756;129401;25.4;2.0;53.3;18.9
2010;051700000000;Wesel, Kreis;18778.0;7.7;11.0;14.1;38.2;14.8;914;838;73;3;753;141053;21.7;2.0;55.1;17.2
2010;053000000000;Köln, Regierungsbezirk;19652.0;;10.3;14.3;42.4;22.6;9459;8745;635;79;7192;1722708;23.8;2.0;45.3;27.5
2010;053140000000;Bonn, Kreisfreie Stadt;21647.0;7.0;8.1;12.3;41.1;25.8;645;597;45;3;350;193689;50.4;4.2;16.4;28.0
2010;053150000000;Köln, Kreisfreie Stadt;19814.0;10.1;8.4;12.3;46.6;31.0;2538;2362;162;14;1361;304378;61.0;10.4;17.6;15.7
2010;053160000000;Leverkusen, Kreisfreie Stadt;18579.0;8.0;12.0;16.1;37.4;23.7;437;419;18;0;118;29257;59.2;7.5;24.9;11.0
2010;053340000000;Städteregion Aachen (einschl. Stadt Aachen);18157.0;9.2;9.8;13.3;43.7;22.8;1125;1034;78;13;1196;325898;27.3;1.8;39.1;30.8
2010;053340020000;Aachen, krfr. Stadt;;;7.2;13.0;50.7;27.1;486;439;39;8;263;243574;39.2;3.3;40.3;18.5
2010;053540000000;Aachen, Kreis;;;;;;;;;;;;;;;;
2010;053580000000;Düren, Kreis;18261.0;8.1;11.3;13.2;42.7;15.7;578;549;27;2;485;90228;16.2;1.3;57.0;21.1
2010;053620000000;Rhein-Erft-Kreis;19769.0;8.1;11.3;16.9;43.8;20.6;920;819;92;9;513;194570;26.8;2.5;53.1;13.6
2010;053660000000;Euskirchen, Kreis;18467.0;7.0;12.2;16.5;35.5;9.6;452;423;29;0;350;73793;13.3;1.0;47.2;38.0
2010;053700000000;Heinsberg, Kreis;17174.0;8.0;13.0;14.2;40.2;12.1;593;547;30;16;229;63248;22.8;1.4;64.5;10.9
2010;053740000000;Oberbergischer Kreis;19976.0;7.3;12.5;16.7;36.4;15.0;634;600;28;6;700;155109;19.0;0.8;39.6;39.1
2010;053780000000;Rheinisch-Bergischer Kreis;22335.0;6.7;9.8;17.0;44.4;19.2;483;414;61;8;462;116486;24.2;1.6;37.0;36.6
2010;053820000000;Rhein-Sieg-Kreis;20559.0;5.9;12.1;16.1;34.7;18.4;1054;981;65;8;1428;176052;23.1;1.4;44.4;29.7
2010;055000000000;Münster, Regierungsbezirk;18464.0;;11.0;14.6;40.1;17.4;4941;4319;475;147;5685;964645;19.5;1.4;62.3;15.6
2010;055120000000;Bottrop, Kreisfreie Stadt;17394.0;8.6;11.9;12.9;40.7;18.7;298;276;21;1;203;21091;43.9;5.6;29.2;22.9
2010;055130000000;Gelsenkirchen, Kreisfreie Stadt;14906.0;14.4;10.7;12.3;45.2;23.0;1039;958;71;10;374;80176;74.4;9.9;14.5;7.7
2010;055150000000;Münster, Kreisfreie Stadt;21676.0;6.0;9.7;13.2;32.2;16.7;487;426;48;13;388;131455;32.5;3.9;46.1;16.0
2010;055540000000;Borken, Kreis;18514.0;5.1;11.9;18.1;38.8;11.9;628;496;63;69;1267;191712;17.0;1.0;66.4;14.7
2010;055580000000;Coesfeld, Kreis;19931.0;3.9;13.1;18.9;24.5;8.5;292;258;26;8;240;36644;13.5;1.0;68.7;15.8
2010;055620000000;Recklinghausen, Kreis;17493.0;11.2;10.6;14.0;47.0;18.3;1117;960;141;16;1653;217957;32.3;2.6;38.2;25.4
2010;055660000000;Steinfurt, Kreis;18504.0;5.0;10.7;17.3;29.5;13.9;700;623;51;26;924;155551;16.9;0.7;66.5;14.2
2010;055700000000;Warendorf, Kreis;19946.0;6.2;12.0;14.9;32.8;17.3;380;322;54;4;636;130059;14.2;1.1;70.7;12.9
