AGS_BUND;BUNDESLAND;AGS;GEMEINDE;BEV_INGESAMT;BEV_MAENNLICH;BEV_WEIBLICH;;;;;;
1;Schleswig-Holstein;1051092;Rehm-Flehde-Bargen;517;267;250;;;;;;
1;Schleswig-Holstein;1051093;Reinsbüttel;448;223;225;;;;;;
1;Schleswig-Holstein;1051096;Sankt Annen;331;174;157;;;;;;
1;Schleswig-Holstein;1051097;Sankt Michaelisdonn; 3 583; 1 784; 1 799;;;;;;
1;Schleswig-Holstein;1051098;Sarzbüttel;730;367;363;;;;;;
1;Schleswig-Holstein;1051099;Schafstedt; 1 355;683;672;;;;;;
1;Schleswig-Holstein;1051100;Schalkholz;597;295;302;;;;;;
1;Schleswig-Holstein;1051102;Schlichting;224;115;109;;;;;;
1;Schleswig-Holstein;1051103;Schmedeswurth;195;104;91;;;;;;
1;Schleswig-Holstein;1051104;Schrum;79;42;37;;;;;;
1;Schleswig-Holstein;1051105;Schülp;475;243;232;;;;;;
1;Schleswig-Holstein;1051107;Stelle-Wittenwurth;458;213;245;;;;;;
1;Schleswig-Holstein;1051108;Strübbel;87;41;46;;;;;;
1;Schleswig-Holstein;1051109;Süderdeich;472;231;241;;;;;;
1;Schleswig-Holstein;1051110;Süderhastedt;860;426;434;;;;;;
1;Schleswig-Holstein;1051113;Wöhrden; 1 308;657;651;;;;;;
1;Schleswig-Holstein;1051114;Tellingstedt; 2 629; 1 288; 1 341;;;;;;
1;Schleswig-Holstein;1051117;Tielenhemme;163;78;85;;;;;;
1;Schleswig-Holstein;1051118;Trennewurth;259;137;122;;;;;;
1;Schleswig-Holstein;1051119;Volsemenhusen;349;180;169;;;;;;
1;Schleswig-Holstein;1051120;Wallen;33;18;15;;;;;;
1;Schleswig-Holstein;1051121;Warwerort;244;122;122;;;;;;
1;Schleswig-Holstein;1051122;Weddingstedt; 2 295; 1 130; 1 165;;;;;;
1;Schleswig-Holstein;1051125;Welmbüttel;457;219;238;;;;;;
1;Schleswig-Holstein;1051126;Wennbüttel;91;42;49;;;;;;
1;Schleswig-Holstein;1051127;Wesselburen, Stadt; 3 025; 1 439; 1 586;;;;;;
1;Schleswig-Holstein;1051128;Wesselburener Deichhausen;125;62;63;;;;;;
1;Schleswig-Holstein;1051129;Wesselburenerkoog;147;80;67;;;;;;
1;Schleswig-Holstein;1051130;Wesseln; 1 402;710;692;;;;;;
1;Schleswig-Holstein;1051131;Westerborstel;116;56;60;;;;;;
1;Schleswig-Holstein;1051132;Westerdeichstrich;840;406;434;;;;;;
1;Schleswig-Holstein;1051133;Wiemerstedt;159;78;81;;;;;;
1;Schleswig-Holstein;1051134;Windbergen;820;420;400;;;;;;
1;Schleswig-Holstein;1051135;Wolmersdorf;338;171;167;;;;;;
1;Schleswig-Holstein;1051136;Wrohm;683;355;328;;;;;;
1;Schleswig-Holstein;1051137;Nordermeldorf;604;315;289;;;;;;
1;Schleswig-Holstein;1051138;Tensbüttel-Röst;687;336;351;;;;;;
1;Schleswig-Holstein;1051139;Süderdorf;372;183;189;;;;;;
1;Schleswig-Holstein;1051140;Oesterwurth;269;141;128;;;;;;
1;Schleswig-Holstein;1051141;Süderheistedt;563;279;284;;;;;;
1;Schleswig-Holstein;1053001;Albsfelde;66;34;32;;;;;;
1;Schleswig-Holstein;1053002;Alt Mölln;865;416;449;;;;;;
1;Schleswig-Holstein;1053003;Aumühle; 3 162; 1 471; 1 691;;;;;;
1;Schleswig-Holstein;1053004;Bäk;870;417;453;;;;;;
